Front	Back
A rainbow appeared after the rain stopped	Pelangi muncul setelah hujan berhenti
I am rinsing vegetables in the kitchen	Aku sedang membilas sayur di dapur
Choose one between coffee or tea?	Pilih satu antara kopi atau teh?
That concrete wall is very strong	Dinding beton itu sangat kuat
The marine ecosystem is changing quickly	Ekosistem laut sedang berubah cepat
That hotel will feel very luxurious	Hotel itu akan terasa sangat mewah
I have never stayed in a hotel	Aku belum pernah menginap di hotel
Why was the reaction so fast?	Mengapa reaksinya begitu cepat?
I will take that book	Aku akan ambil buku itu
I will transfer this task tomorrow	Aku akan alih tugas ini besok
The door is already locked from inside	Pintunya sudah terkunci dari dalam
That cat sleeps inside the box	Kucing itu tidur dalam kotak
I will send that box tomorrow	Kotak itu akan kukirim besok
Why did you not answer my call?	Mengapa kamu tidak angkat teleponku?
My cellphone is being charged now	Ponselku sedang dicas sekarang
That phone has not been charged all night	Ponsel itu belum dicas semalaman
I will work all day tomorrow	Aku akan bekerja seharian besok
Why is that microphone not working?	Mengapa mikrofon itu tidak berfungsi?
This forest keeps the ecosystem balanced	Hutan ini menjaga ekosistem tetap seimbang
Its price and quality are not balanced	Harga dan kualitasnya tidak seimbang
Its sound quality is decreasing today	Kualitas suaranya sedang menurun hari ini
Why did the price of coffee rise again?	Mengapa harga kopi naik lagi?
That shop's sales have decreased since January	Penjualan toko itu menurun sejak Januari
Sales this week have not increased	Penjualan minggu ini belum meningkat
That child is eating ice cream	Anak itu sedang makan es krim
The chef will add salt later	Koki akan menambahkan garam nanti
That chef has not prepared the meal yet	Koki itu belum menyiapkan makanannya
Have you already prepared the document?	Apakah kamu sudah menyiapkan dokumennya?
I will join that team	Aku akan gabung tim itu
He is recapping the sales report	Dia sedang rekap laporan penjualan
The moon has not appeared tonight	Bulan belum terlihat malam ini
That heavy rain finally subsided	Hujan deras itu akhirnya reda
The ticket price is still very low	Harga tiketnya masih sangat rendah
I will pursue my ambition this year	Aku akan mengejar ambisiku tahun ini
Why are you chasing that dream?	Mengapa kamu mengejar mimpi itu?
I once dreamed about the vast ocean	Aku pernah bermimpi tentang laut luas
I am looking at the sea this afternoon	Aku sedang menatap laut sore ini
Will you go to the gym tomorrow?	Apakah kamu akan ke gym besok?
I do not stare at the screen all day	Aku tidak menatap layar sepanjang hari
Throughout the journey, I remained silent	Sepanjang perjalanan, aku tetap diam
My shoes are not dry yet, still wet	Sepatuku belum kering, masih basah
Those clothes will be dry tomorrow	Pakaian itu akan kering besok
I am still waiting for your answer	Aku masih menunggu jawabanmu
That company will export coffee next year	Perusahaan itu akan ekspor kopi tahun depan
The doctor asked about my medical history yesterday	Dokter menanyakan riwayat penyakitku kemarin
Why are you asking that?	Mengapa kamu menanyakan hal itu?
He has never suffered a serious illness	Dia belum pernah menderita penyakit serius
I have not checked my bank account today	Aku belum memeriksa akun bankku hari ini
I will delete that message now	Aku akan hapus pesan itu sekarang
The teacher wants to foster curiosity	Guru ingin memupuk rasa ingin tahu
Why is that bank closed today?	Mengapa bank itu tutup hari ini?
I did not feel fear earlier	Aku tidak merasakan rasa takut tadi
My curiosity has not been answered yet	Rasa ingin tahuku belum terjawab
I am feeling the cold sea wind	Aku sedang merasakan angin laut dingin
I am holding that big ladder	Aku sedang memegang tangga besar itu
Why did he hold my hand earlier?	Mengapa dia memegang tanganku tadi?
I will paint with my fingers later	Aku akan melukis dengan jari nanti
My hair is not dry yet after showering	Rambutku belum kering setelah mandi
This soap does not make the skin dry	Sabun ini tidak membuat kulit kering
My shoes smell because of yesterday's rain	Sepatuku bau karena hujan kemarin
My skin still feels cold now	Kulitku masih terasa dingin sekarang
Patience is the key to success	Kesabaran adalah kunci keberhasilan
Your patience has not run out today	Kesabaranmu belum habis hari ini
I will remain patient waiting for news	Aku akan tetap sabar menunggu kabar
My foot still hurts after running	Kakiku masih sakit setelah lari
Has your leg healed now?	Apakah kakimu sudah sembuh sekarang?
I have not recovered from the flu	Aku belum sembuh dari flu
My arm is not strong enough to lift the box	Lenganku belum kuat mengangkat kotak
My back feels sore after working	Punggungku terasa sakit setelah kerja
My head is not dizzy anymore today	Kepalaku tidak pusing lagi hari ini
His beard is not very long now	Janggutnya tidak terlalu panjang sekarang
My elbow hurts because I fell yesterday	Sikuku sakit karena jatuh kemarin
That prejudice is not necessarily true	Prasangka itu belum tentu benar
My message has not been answered since yesterday	Pesanku belum dijawab sejak kemarin
I already sent the invoice yesterday	Aku sudah mengirim faktur kemarin
I do not approve that plan	Aku tidak setujui rencana itu
Do you agree with that decision?	Apakah kamu setuju dengan keputusan itu?
I have not asked my parents' permission yet	Aku belum minta izin orang tua
I will ask for help tomorrow	Aku akan minta bantuan besok
Can you help me now?	Bisakah kamu bantu aku sekarang?
That animal is sleeping in the garden	Hewan itu sedang tidur di kebun
That plant does not grow quickly	Tanaman itu tidak tumbuh cepat
My body still feels tired	Tubuhku masih terasa lelah
My body does not feel better yet	Badanku belum terasa lebih baik
Are you peeling potatoes?	Apakah kamu sedang mengupas kentang?
I am peeling a ripe mango	Aku sedang mengupas mangga matang
Why does the evening sky look yellow?	Mengapa langit sore terlihat kuning?
That apple is not fully ripe yet	Apel itu belum matang sepenuhnya
I will buy fresh oranges later	Aku akan membeli jeruk segar nanti
Do you understand that explanation?	Apakah kamu mengerti penjelasan itu?
Your explanation earlier was very clear	Penjelasanmu tadi sangat jelas
That fire did not go out last night	Api itu tidak padam semalam
Have you already washed that spoon?	Apakah sendok itu sudah kamu cuci?
That plate will break later	Piring itu akan pecah nanti
I do not like strange flavor mixtures	Aku tidak suka campuran rasa aneh
These days feel very complicated to me	Hari-hari ini terasa sangat rumit bagiku
I already downloaded that file yesterday	Aku sudah mendownload file itu kemarin
The coming days will feel lighter	Hari-hari mendatang akan terasa lebih ringan
Have you already planned the upcoming event?	Apakah acara mendatang sudah kamu rencanakan?
He is bringing a gift for you now	Dia sedang membawa hadiah untukmu sekarang
That plate is not mine, do not take it	Piring itu bukan milikku, jangan ambil
Do not disturb me while I am working	Jangan kamu ganggu aku saat bekerja
He once suffered because he lost direction	Dia pernah merana karena kehilangan arah
What do you mean by what you said earlier?	Apa maksudmu dengan ucapan tadi?
I will remember your words forever	Ucapanmu akan aku ingat selamanya
I will love you forever	Aku akan mencintaimu selamanya
Will this last forever?	Apakah ini akan berlangsung selamanya?
We once hoped to live happily forever	Kami pernah berharap hidup bahagia selamanya
They will be together forever later	Mereka akan bersama selamanya nanti
That memory feels alive forever	Kenangan itu terasa hidup selamanya
I have not forgotten you forever	Aku belum melupakanmu selamanya
This love will not disappear forever	Cinta ini tidak akan hilang selamanya
I no longer love you like before	Aku tidak lagi mencintaimu seperti dulu
That meeting lasted longer earlier	Pertemuan itu berlangsung lebih lama tadi
He gave a gift to his friend yesterday	Dia memberikan hadiah pada temannya kemarin
Do not throw away food that is still edible	Jangan membuang makanan yang masih layak
He seems like he does not care about this problem	Dia kayak tidak peduli dengan masalah ini
I have not read this book until finished	Buku ini belum aku baca sampai selesai
That leaf fell slowly earlier this morning	Daun itu jatuh perlahan tadi pagi
That car moves slowly on the narrow road	Mobil itu bergerak perlahan di jalan sempit
Can this machine still move?	Apakah mesin ini masih bisa bergerak?
I have not met him since that incident	Aku belum bertemu dia sejak kejadian itu
That possibility cannot be confirmed by me yet now	Kemungkinan itu belum bisa aku pastikan sekarang
He does not have the strength to fight anymore	Dia tidak memiliki kekuatan untuk melawan lagi
I do not want to fight them without reason	Aku tidak ingin melawan mereka tanpa alasan
How long will you stay here?	Berapa lama kamu akan tinggal di sini?
Have you ever slept in the loft?	Apakah kamu pernah tidur di loteng?
He is not too clingy anymore now	Dia tidak terlalu manja lagi sekarang
Will I seem clingy in front of you?	Aku akan terlihat manja di depanmu?
That building is an old colonial heritage	Bangunan itu merupakan peninggalan kolonial lama
That building is not finished being built yet	Bangunan itu belum selesai dibangun sekarang
Does this feel like heaven to you?	Apakah ini terasa seperti surga bagimu?
That layer of ice is very thin this morning	Lapisan es itu sangat tipis pagi ini
Let me handle this later	Biar aku yang urus ini nanti
I am not sure he will come	Aku tidak yakin dia akan datang
Why does this task feel very difficult?	Kenapa tugas ini terasa sangat susah?
I already spoke honestly earlier	Aku sudah ngomong jujur tadi
I still don’t understand the meaning until now	Aku belum ngerti maksudnya sampai sekarang
That cat was not fat at all before	Kucing itu dulu tidak gendut sama sekali
I need a pause before continuing to talk	Aku butuh jeda sebelum lanjut bicara
Please play that music again later	Tolong putar musik itu lagi nanti
I am learning to manage time better	Aku sedang belajar kelola waktu lebih baik
He already rejected that offer yesterday	Dia sudah tolak tawaran itu kemarin
Try to stay calm when the situation is chaotic	Coba tetap tenang saat situasi kacau
I will stay calm facing this problem	Aku akan tetap tenang menghadapi masalah ini
This device is not yet connected to the network	Perangkat ini belum terkoneksi ke jaringan
Will this network be stable later tonight?	Apakah jaringan ini akan stabil malam nanti?
That old device can no longer be used	Perangkat lama itu tidak bisa digunakan lagi
His condition became stable after yesterday’s treatment	Kondisinya sudah stabil setelah perawatan kemarin
I am undergoing routine treatment this month	Aku sedang menjalani perawatan rutin bulan ini
Have you been exercising regularly lately?	Apakah kamu sudah rutin olahraga akhir-akhir ini?
They will build a new house next year	Mereka akan membangun rumah baru tahun depan
I had not woken up until noon earlier	Aku belum bangun sampai siang tadi
I will not build the business alone	Aku tidak akan membangun bisnis sendirian
That small business has not grown well yet	Bisnis kecil itu belum berkembang dengan baik
Can this idea develop further?	Apakah ide ini bisa berkembang lebih jauh?
He will be blunt about that issue later	Dia akan blak-blakan soal masalah itu nanti
That architectural style is not modern colonial	Gaya arsitektur itu bukan kolonial modern
I want to change my hairstyle tomorrow	Aku ingin ubah gaya rambut besok
I have never seen a wild elephant in person	Aku belum pernah melihat gajah liar langsung
He answered directly without thinking long	Dia langsung menjawab tanpa berpikir lama
That layer of paint is not fully dry yet	Lapisan cat itu belum kering sempurna
The result is not perfect but good enough	Hasilnya tidak sempurna tapi cukup baik
That wall will be repainted next week	Dinding itu akan dicat ulang minggu depan
I bought a rare book yesterday	Aku membeli sebuah buku langka kemarin
We have not agreed about that plan yet	Kami belum sepakat tentang rencana itu
That discussion did not go smoothly yesterday	Diskusi itu tidak berjalan lancar kemarin
Do you know about the new rule changes?	Apakah kamu tahu tentang perubahan aturan baru?
All those plans will succeed if consistent	Semua rencana itu akan berhasil jika konsisten
I still cannot consistently maintain a new habit	Aku belum bisa konsisten menjaga kebiasaan baru
That bad habit has slowly changed	Kebiasaan buruk itu sudah berubah perlahan
Today's weather is not as bad as yesterday	Cuaca hari ini tidak seburuk kemarin
Will that decision have a bad impact later?	Apakah keputusan itu akan berdampak buruk nanti?
That decision has not had a big impact so far	Keputusan itu belum berdampak besar sejauh ini
So far I have not seen real results	Sejauh ini aku belum melihat hasil nyata
I feel comfortable living here now	Aku merasa nyaman tinggal di sini sekarang
I will also go with them	Aku juga akan ikut pergi bersama mereka
He reads a book and writes notes tonight	Dia membaca buku dan menulis catatan malam ini
I want to become more patient going forward	Aku ingin menjadi lebih sabar ke depannya
I was late because of heavy traffic earlier	Aku terlambat karena macet parah tadi
The damage is not severe after that incident	Kerusakannya belum parah setelah kejadian itu
I still remember his face until now	Aku masih ingat wajahnya sampai sekarang
I will remember your advice forever	Aku akan ingat nasihatmu selamanya
He has not remembered my friend's name earlier	Dia belum ingat nama temanku tadi
Remember to bring the keys before leaving	Ingat untuk membawa kunci sebelum keluar
I once remembered that song clearly	Aku pernah ingat lagu itu dengan jelas
He will remember this moment his whole life	Dia akan ingat momen ini sepanjang hidupnya
I did not recognize that face earlier	Aku tidak mengenali wajah itu tadi
Have you checked the details of this order?	Apakah kamu sudah memeriksa detail pesanan ini?
That song is being played on the radio now	Lagu itu sedang diputar di radio sekarang
I did not recognize his voice on the phone earlier	Aku tidak mengenali suaranya di telepon tadi
His condition has not improved since last night	Kondisinya belum membaik sejak kemarin malam
The quality of this product will improve next year	Kualitas produk ini akan meningkat tahun depan
My skin has not fully recovered after that wound	Kulitku belum pulih sepenuhnya setelah luka itu
He will recover faster with enough rest	Dia akan pulih lebih cepat dengan istirahat cukup
That wound has not healed even though it has been treated	Luka itu belum sembuh meskipun sudah dirawat
I must rest so I recover quickly	Aku harus istirahat agar cepat pulih
He has not left the hospital since the surgery	Dia belum keluar dari rumah sakit sejak operasi
Your privacy must always be properly protected	Privasi kamu harus tetap dijaga dengan baik
The situation is not as chaotic as it appears	Situasinya tidak terlalu kacau seperti yang terlihat
I am already tired from working all day	Aku sudah capek bekerja seharian ini
That boy is not very tall compared to his friend	Cowok itu tidak terlalu tinggi dibanding temannya
Has that girl already left from here?	Apakah cewek itu sudah pergi dari sini?
This price is cheaper compared to the shop next door	Harga ini lebih murah dibanding toko sebelah
That shop is next to my house now	Toko itu berada di sebelah rumahku sekarang
I do not want to split that wood alone	Aku tidak mau belah kayu itu sendirian
That wood has already been cut into several pieces	Kayu itu sudah dipotong menjadi beberapa bagian
The beginning of that story is not very interesting to me	Awal cerita itu tidak terlalu menarik bagiku
That additional fee will be calculated later	Biaya tambahan itu akan dihitung nanti
I have not paid the vehicle tax this year	Aku belum membayar pajak kendaraan tahun ini
The total cost has already been calculated since yesterday	Total biayanya sudah dihitung sejak kemarin
I do not want to repeat past mistakes again	Aku tidak ingin mengulang kesalahan lampau lagi
How did you manage to solve that problem?	Gimana kamu bisa menyelesaikan masalah itu?
That man does not work here anymore	Pria itu tidak bekerja di sini lagi
I don't want to join either	Aku tidak mau ikut pula
I am already tired, besides it’s raining heavily	Aku sudah lelah, lagipula hujan deras
He is not yet brave to speak honestly	Dia belum berani bicara jujur
I am working hard now	Aku sedang bekerja keras kini
I am not yet fluent speaking Japanese	Aku belum fasih berbicara Jepang
He will speak Indonesian fluently	Dia akan berbahasa Indonesia dengan lancar
Is your explanation concise enough?	Apakah penjelasanmu cukup singkat?
I am trying a new variation of the recipe	Aku sedang mencoba variasi baru resep
Yesterday I made a chocolate cake myself	Kemarin aku bikin kue cokelat sendiri
I do not like cakes that are too sweet	Aku tidak suka kue terlalu manis
He is increasingly quick at understanding lessons	Dia makin cepat memahami pelajaran
There is still a little time remaining before departure	Masih tersisa sedikit waktu sebelum berangkat
Your understanding of that topic is getting deeper	Pemahamanmu tentang topik itu makin dalam
He has not yet entered the participant list	Dia belum masuk dalam daftar peserta
The participants will gather tomorrow morning	Para peserta akan berkumpul besok pagi
My name is not on that list	Namaku tidak ada dalam daftar itu
I will obtain that ticket later	Aku akan dapatkan tiket itu nanti
Have they already bought enough cement?	Apakah mereka sudah membeli semen cukup?
The doctor examines semen in the laboratory	Dokter memeriksa air mani di laboratorium
I do not yet understand the function of that affix	Aku belum memahami fungsi imbuhan itu
This is the reason I chose this path	Inilah alasan aku memilih jalan ini
He does not use reason when angry	Dia tidak memakai akal saat marah
Your exam score has not come out today	Nilai ujianmu belum keluar hari ini
I am waiting for you outside	Gua lagi nunggu lo di luar
I have never been there	Gue belum pernah ke sana
Will you join us tonight?	Lo bakal ikut kita malam ini?
Have you already received that email?	Apakah Anda sudah menerima email itu?
What time will you all leave?	Kalian akan berangkat jam berapa?
She once taught at that university	Beliau pernah mengajar di universitas itu
We are not part of that team	Kami bukan bagian dari tim tersebut
I am no longer a student there	Aku bukan lagi mahasiswa di sana
They were not my close friends before	Mereka bukan teman dekatku dulu
This is not the first time I try	Ini bukan pertama kali aku mencoba
He is not the only option now	Dia bukan satu-satunya pilihan sekarang
That house is not my family's property	Rumah itu bukan milik keluargaku
She was not joking at that time	Dia bukan sedang bercanda saat itu
This is not something to be afraid of	Ini bukan sesuatu yang harus ditakuti
I live in a small apartment now	Aku tinggal di apartemen kecil sekarang
Do not drink that, that is poison	Jangan minum itu, itu racun
I only want to rest for a moment	Aku cuma ingin istirahat sebentar
This time is very valuable to me now	Waktu ini sangat berharga bagiku sekarang
I really appreciate your help earlier	Aku sangat menghargai bantuanmu tadi
She has not said the real reason	Dia belum mengatakan alasan sebenarnya
I often daydream during long trips	Aku sering melamun saat perjalanan panjang
What actually happened last night?	Apa yang sebenarnya terjadi tadi malam?
I cannot forbid him to leave	Aku tidak bisa larang dia pergi
Visitors are forbidden to enter after ten	Pengunjung dilarang masuk setelah jam sepuluh
This is the hardest part of that project	Ini bagian tersulit dari proyek itu
This is the most difficult task I have ever done	Ini tugas tersulit yang pernah aku kerjakan
He is the youngest member on this team	Dia adalah anggota termuda di tim ini
This is the easiest way to solve the problem	Ini cara termudah untuk menyelesaikan masalah
This question is not easy to understand	Soal ini tidak mudah untuk dipahami
He is still young but already successful	Dia masih muda tapi sudah sukses
I want to join, but I am not ready	Aku mau ikut, tapi aku belum siap
I have already tried, but the result is not clear yet	Aku sudah mencoba, tetapi hasilnya belum jelas
The teacher will test our ability tomorrow	Guru akan uji kemampuan kita besok
I have not marked that date on the calendar	Aku belum menandai tanggal itu di kalender
I have not been good at playing chess since before	Aku tidak pandai bermain catur sejak dulu
The meeting was canceled because of heavy rain	Rapat itu batal karena hujan deras
I do not allow them to enter tonight	Aku tidak izinkan mereka masuk malam ini
Refresh your mind before making a decision	Segarkan pikiranmu sebelum mengambil keputusan
We will go to the beach during the holiday	Kami akan pergi ke pantai saat hari libur
That thought has never left my mind	Pikiran itu tidak pernah hilang dariku
This tool becomes an energy saver at home	Alat ini menjadi penghemat energi di rumah
This battery no longer has power	Baterai ini tidak punya daya lagi
I am charging my phone battery now	Aku sedang mengisi baterai ponsel sekarang
That airplane will land in ten minutes	Pesawat itu akan mendarat dalam sepuluh menit
I have not filled up fuel since yesterday	Aku belum mengisi bensin sejak kemarin
I have gotten rid of dandruff since last month	Aku sudah menghilangkan ketombe sejak bulan lalu
That dandruff doesn't disappear even after washing hair	Ketombe itu tidak hilang walau sudah keramas
He did not buy that gold ring	Dia tidak membeli cincin emas itu
I will buy a ring for the proposal tomorrow	Aku akan membeli cincin untuk lamaran besok
This menu is specially made for new customers	Menu ini dibuat khusus untuk pelanggan baru
The plan will not change even if there are problems	Rencananya tidak akan berubah meski ada masalah
That old house will be renovated next year	Rumah tua itu akan direnovasi tahun depan
He doesn't feel old even though his hair turned white	Dia belum merasa tua meski rambutnya memutih
I will take care of that elderly person well	Aku akan merawat orang tua itu dengan baik
That building has been being renovated since early this year	Gedung itu sedang direnovasi sejak awal tahun
His hair has already turned gray since a young age	Rambutnya sudah memutih sejak usia muda
His age is not enough to take that exam	Usianya belum cukup untuk mengikuti ujian itu
Where does your family originally come from?	Kamu berasal dari mana asal keluargamu?
His business is not developing even though it has run long	Bisnisnya tidak berkembang meski sudah lama berjalan
That death has not been explained by the doctor	Kematian itu belum dijelaskan oleh dokter
Did he die before you arrived?	Apakah dia sudah meninggal sebelum kamu datang?
That plant died because it was not watered yesterday	Tanaman itu mati karena tidak disiram kemarin
That company will automate the production process next year	Perusahaan itu akan mengotomatiskan proses produksi tahun depan
That factory's production did not increase this month	Produksi pabrik itu tidak meningkat bulan ini
That factory will temporarily close because of renovation	Pabrik itu akan tutup sementara karena renovasi
We are temporarily staying at a relative's house nearby	Kami tinggal sementara di rumah saudara dekat sini
Why isn't this lamp on?	Kenapa lampu ini tidak menyala?
I will bring a flashlight later tonight	Aku akan membawa senter nanti malam
I haven't activated airplane mode yet	Mode pesawat belum aku aktifkan
Am I disturbing you right now?	Apakah aku mengganggu kamu sekarang?
That alarm hasn't rung this morning	Alarm itu belum berbunyi pagi ini
The doorbell is ringing loudly	Bel pintu sedang berbunyi keras
That alarm has already been set earlier	Alarm itu sudah disetel sejak tadi
I will set the alarm before sleeping	Aku akan setel alarm sebelum tidur
This light will turn off automatically later	Lampu ini akan mati otomatis nanti
The security system is being updated now	Sistem keamanan sedang diperbarui sekarang
When will you update this app?	Kapan kamu akan perbarui aplikasi ini?
That recorder is recording our voices	Perekam itu sedang merekam suara kita
I haven't used that camera today	Kamera itu belum aku pakai hari ini
Do you have access to this system?	Apakah kamu punya akses ke sistem ini?
I don't know the location of that place	Aku tidak tahu lokasi tempat itu
This light is too dim for reading	Cahaya ini terlalu redup untuk membaca
I will study more focused tonight	Aku akan belajar lebih fokus malam ini
My privacy must not be violated by you	Privasi aku tidak boleh kamu langgar
I will check that message later	Aku akan periksa pesan itu nanti
You may enter once you are ready	Kamu boleh masuk kalau sudah siap
I cannot open that file	Aku tidak bisa membuka file itu
I will send the proposal tomorrow	Aku akan mengirim usulan besok
That country is currently facing an economic crisis	Negara itu sedang menghadapi krisis ekonomi
He has not recovered since yesterday's accident	Dia belum pulih sejak kecelakaan kemarin
Did he have an accident last night?	Apakah dia mengalami kecelakaan tadi malam?
I once experienced something similar before	Aku pernah mengalami hal serupa dulu
He has not received compensation for his work	Dia belum menerima upa atas pekerjaannya
The ship will cross the strait tomorrow	Kapal itu akan melintasi selat besok
This is the most difficult I have ever tried	Ini paling sulit yang pernah aku coba
Many residents will be affected by the new policy	Banyak warga akan terdampak kebijakan baru
That company does not change its old policy	Perusahaan itu tidak mengubah kebijakan lama
Cocoa prices are rising this month	Harga kakao sedang naik bulan ini
That farmer will plant corn next season	Petani itu akan menanam jagung musim depan
That cow is eating in the field	Sapi itu sedang makan di ladang
Have you ever seen a wild tiger?	Apakah kamu pernah melihat harimau liar?
That monkey has not come down from the tree	Monyet itu belum turun dari pohon
I will buy fresh fish later	Aku akan membeli ikan segar nanti
He is frying fish in the kitchen	Dia sedang menggoreng ikan di dapur
I want fried rice now	Aku mau nasi goreng sekarang
That boat has already returned to the harbor	Perahu itu sudah kembali ke pelabuhan
The children are playing in the beach sand	Anak-anak bermain di pasir pantai
That house is made of old wood	Rumah itu terbuat dari kayu tua
The bridge is reinforced with strong iron	Jembatan itu diperkuat dengan besi kuat
We will repair the fence tomorrow	Kami akan memperbaiki pagar besok
The rat ran when I approached	Tikus itu lari saat aku mendekat
They fished in the lake this afternoon	Mereka memancing di danau tadi siang
I haven’t tried my new shoes outside yet	Sepatu baruku belum kucoba di luar
The wind tonight feels very strong	Angin malam ini terasa sangat kencang
Have you met all the registration requirements?	Apakah kamu sudah memenuhi semua syarat pendaftaran?
The king rules his kingdom wisely	Raja itu memerintah kerajaannya dengan bijak
He always gives wise advice	Dia selalu memberi nasihat yang bijaksana
I want to explore the forest next week	Aku ingin selajahi hutan minggu depan
I put the hot tea in the cup	Aku menaruh teh panas di cangkir
The horse runs fast in the field	Kuda itu berlari cepat di padang
I planted a new plant in the yard	Aku menanam tanaman baru di halaman
The wall is built from red bricks	Tembok itu dibangun dari batu bata merah
The children threw stones into the river	Anak-anak melempar batu ke sungai
I sit on the sofa while reading	Aku duduk di sofa sambil membaca
The duck is swimming in the pond this morning	Bebek itu berenang di kolam pagi ini
The fish is swimming in my home aquarium	Ikan itu berenang di akuarium rumahku
I bought a new shirt yesterday	Aku membeli kemeja baru kemarin
The child is eating watermelon in the yard	Anak itu memakan semangka di halaman
I brush my teeth before sleeping at night	Aku menyikat gigi sebelum tidur malam
The dog started to bite its toy hard	Anjing itu mulai menggigit mainannya keras
The children are playing in the park this afternoon	Anak-anak sedang main di taman sore ini
I have to analyse the data before the presentation	Aku harus menganalisis data sebelum presentasi
She wears a beautiful dress to the party	Dia memakai gaun cantik ke pesta
The car is parked in front of the house	Mobil itu diparkir di depan rumah
Dark clouds cover the sky this afternoon	Awan gelap menutupi langit sore ini
She wears leggings while exercising	Dia memakai celana ketat saat berolahraga
I massaged my sore foot last night	Aku memijat kaki yang pegal tadi malam
I keep money in my wallet every day	Aku menyimpan uang di dompet setiap hari
I found an old coin in the drawer	Aku menemukan koin lama di laci
I paid for the groceries in cash yesterday	Aku membayar belanjaan dengan tunai kemarin
Asia is the largest continent in the world	Asia adalah benua terbesar di dunia
He is my best friend since childhood	Dia adalah teman terbaikku sejak kecil
That volcano erupted last month	Gunung berapi itu meletus bulan lalu
I will paint the bedroom wall tomorrow	Aku akan mengecat dinding kamar besok
I wash the dishes in the kitchen sink	Aku mencuci piring di wastafel dapur
The faucet in the bathroom leaked last night	Keran di kamar mandi bocor tadi malam
I bought fresh pineapple at the market	Aku membeli nanas segar di pasar
I am sure to finish the assignment before night	Aku pasti menyelesaikan tugas sebelum malam
I was accepted into the best university this year	Aku diterima di universitas terbaik tahun ini
I eat a banana before morning exercise	Aku makan pisang sebelum berolahraga pagi
The flower is bright yellow in the garden	Bunga itu berwarna kuning cerah di taman
I sit on the log along the river	Aku duduk di balok kayu sepanjang sungai
The roof of the house is supported by wooden beams	Atap rumah itu ditopang oleh balok kayu
I hammered a nail into the wall for a photo	Aku menancapkan paku di dinding untuk foto
I will take that book from the shelf	Aku akan ambil buku itu dari rak
I rest my head on the soft pillow	Aku meletakkan kepala di bantal empuk
The clothes are neatly stored in the closet	Pakaian itu disimpan rapi di lemari
I climbed the ladder to get the book	Aku memanjat tangga untuk ambil buku
I will climb the mountain this weekend	Aku akan mendaki gunung akhir pekan ini
I have been busy working all week	Aku sibuk bekerja sepanjang pekan ini
My nose itches due to dust allergy	Hidungku gatal karena alergi debu
My ear hurt after swimming yesterday	Telingaku sakit setelah berenang kemarin
I read the entire book last night	Aku membaca seluruh buku itu semalam
We spent the whole day at the beach	Kami menghabiskan keseluruhan hari di pantai
That restaurant is famous for its spicy dishes	Restoran itu terkenal dengan masakan pedasnya
I have been wearing that earring since this morning	Aku sudah memakai anting itu sejak pagi
I will go to the airport tomorrow morning	Aku akan pergi ke bandara besok pagi
I am cleaning the house before the guests arrive	Aku sedang membersihkan rumah sebelum tamu datang
The furniture in our new house is very modern	Perabot di rumah baru kami sangat modern
I always brush my teeth with a new brush every week	Aku selalu menyikat gigi dengan sikat baru setiap minggu
I received a package from the online store yesterday afternoon	Aku menerima paket dari toko online kemarin sore
I will integrate the new system into the application	Aku akan mengintegrasikan sistem baru ke dalam aplikasi
The data integration between the two systems was completed last week	Integrasi data antara dua sistem selesai minggu lalu
I sat on the chair between my two friends	Aku duduk di kursi antara dua temanku
The delivery of goods from that store is usually fast	Pengiriman barang dari toko itu biasanya cepat
I just bought a new motorcycle yesterday	Aku baru saja membeli sepeda motor baru kemarin
Just sit here only, don’t move	Cukup duduk di sini aja jangan bergerak
Don’t move until I say ready	Jangan gerak dulu sampai aku bilang siap
She sings like a professional singer at the concert	Dia bernyanyi seperti penyanyi profesional di konser
We often go to the cinema every weekend	Kami sering pergi ke bioskop setiap akhir pekan
I am chatting with an old friend through messages	Aku sedang mengobrol dengan teman lama lewat pesan
I often play video games before going to sleep	Aku sering bermain permainan video sebelum tidur
The testing of the new system will be conducted next week	Pengujian sistem baru akan dilakukan minggu depan
I met with the engineer to discuss the project	Aku bertemu dengan insinyur itu untuk membahas proyek
Please do this task before five o’clock	Tolong lakukan tugas ini sebelum jam lima sore
I check the latest data on the dashboard every morning	Aku mengecek data terbaru di dasbor setiap pagi
The important element of this design must be considered	Elemen penting dari desain ini harus diperhatikan
I felt sad in my heart when I heard that news	Aku merasa sedih di dalam hati saat mendengar berita itu
The doctor checked my heart because the beat was irregular	Dokter memeriksa jantungku karena detak yang tidak normal
I will also go to the party tonight	Aku jg akan ikut ke pesta nanti malam
I was late because of the heavy rain this morning	Aku terlambat karna hujan deras tadi pagi
I have to repeat that lesson to understand it better	Aku harus ulang pelajaran itu supaya lebih paham
Please repeat that question so I can hear it clearly	Tolong ulangi pertanyaan itu supaya aku jelas mendengar
I ordered a warm chicken soup for lunch	Aku memesan sup ayam hangat untuk makan siang
The pig is sleeping in the backyard	Babi itu sedang tidur di halaman belakang
I saw a little child cry in the park earlier	Aku melihat anak kecil menangis di taman tadi
We must take care of the environment to keep it clean and healthy	Kita harus menjaga lingkungan agar tetap bersih dan sehat
I feel safe when I am at home with my family	Aku merasa aman saat berada di rumah bersama keluargaku
The safety of workers is always the company’s top priority	Keselamatan pekerja selalu menjadi prioritas utama perusahaan
