Front	Back
This plan must remain secret	Rencana ini harus tetap rahasia
Do I have to go?	Apakah aku harus pergi?
I missed the last bus earlier	Aku tadi ketinggalan bus terakhir
I am currently missing my old friend	Aku sedang merindukan sahabat lamaku
That Miss has not arrived at the office yet	Nona itu belum tiba di kantor
Why did you miss that important detail?	Mengapa kamu melewatkan detail penting itu?
His shot almost missed the target	Tembakannya hampir meleset dari target
His shot did not hit the target	Tembakannya tidak mengenai target
That arrow will hit the target	Panah itu akan mengenai sasaran
Today's training target has not been achieved	Sasaran latihan hari ini belum tercapai
That arrow does not fly straight	Panah itu tidak terbang lurus
That big goal was finally achieved	Tujuan besar itu akhirnya tercapai
This road is not straight to the city	Jalan ini tidak lurus sampai kota
That bird will fly at dawn	Burung itu akan terbang saat fajar
Has this city ever been very crowded?	Apakah kota ini pernah sangat ramai?
Dawn has not appeared in the east	Fajar belum muncul di timur
That bird is currently looking for food	Burung itu sedang mencari makanan
Why are you looking for the old address?	Mengapa kamu mencari alamat lama?
We do not work on Tuesday	Kami tidak bekerja pada Selasa
I will return on Wednesday	Aku akan kembali pada Rabu
Do you work on Thursday?	Apakah kamu bekerja pada Kamis?
I have never worked on Friday	Aku belum pernah bekerja pada Jumat
We will depart on Saturday	Kami akan berangkat pada Sabtu
Why is that shop closed on Sunday?	Mengapa toko itu tutup pada Minggu?
Did you move house in January?	Apakah kamu pindah rumah pada Januari?
That festival will be held in February	Festival itu akan diadakan Februari
That important meeting will be held tomorrow	Rapat penting itu akan diadakan besok
Why does that leaf stay green?	Mengapa daun itu tetap hijau?
The western sky appears red this evening	Langit barat tampak merah sore ini
The sun will set in the west	Matahari akan tenggelam di barat
Why did the sun set early today?	Mengapa matahari cepat tenggelam hari ini?
He suddenly stepped aside from me	Dia tiba-tiba melangkah menyamping dariku
I did not step backward yesterday	Aku tidak melangkah mundur kemarin
Why did he suddenly step back earlier?	Mengapa dia tiba-tiba mundur tadi?
That big festival is held in March	Festival besar itu diadakan Maret
Does your exam start in April?	Apakah ujianmu dimulai April?
I will move to another city in May	Aku akan pindah kota pada Mei
That meeting is scheduled on Monday	Rapat itu dijadwalkan pada Senin
Does your holiday start in June?	Apakah liburanmu dimulai Juni?
We have not planned a vacation this year	Kami belum merencanakan liburan tahun ini
That music festival is held in July	Festival musik itu diadakan Juli
I have never visited Bali in August	Aku belum pernah mengunjungi Bali Agustus
Does the new semester start in September?	Apakah semester baru dimulai September?
He suddenly laughed when hearing the joke	Dia tiba-tiba tertawa saat mendengar lelucon
That film festival is held in October	Festival film itu diadakan Oktober
Will that project be finished in November?	Apakah proyek itu selesai November?
We usually take a long vacation in December	Kami biasanya liburan panjang Desember
Is that journey too long?	Apakah perjalanan itu terlalu panjang?
I usually wake up before dawn	Aku biasanya bangun sebelum fajar
Why haven't you woken up this morning?	Mengapa kamu belum bangun pagi ini?
I did not find my blue pen	Aku tidak menemukan pena biruku
We will travel far to the south	Kami akan bepergian jauh ke selatan
Is that ship heading east?	Apakah kapal itu menuju timur?
We have never lived in the north	Kami tidak pernah tinggal di utara
That small village is located near the river	Desa kecil itu terletak dekat sungai
Why does this river look very muddy?	Mengapa sungai ini tampak sangat keruh?
That water is no longer murky now	Air itu tidak lagi keruh sekarang
We have never traveled to the west	Kami tidak pernah bepergian ke barat
Why does that wall look cracked?	Mengapa dinding itu terlihat retak?
That glass has been cracked since yesterday	Kaca itu sudah retak sejak kemarin
Did that window glass break?	Apakah kaca jendela itu pecah?
That balloon did not pop earlier	Balon itu tidak pecah tadi
That red balloon will fly	Balon merah itu akan terbang
Why did your face suddenly turn red?	Mengapa wajahmu tiba-tiba merah?
Is that paper truly white?	Apakah kertas itu benar-benar putih?
This paper is not thick enough	Kertas ini tidak cukup tebal
Is that book too thick?	Apakah buku itu terlalu tebal?
I am currently reading an old book	Aku sedang membaca buku lama
I will try a new recipe	Aku akan mencoba resep baru
I have never used this recipe	Resep ini belum pernah aku gunakan
Why are you not wearing shoes?	Mengapa kamu tidak pakai sepatu?
That light is not bright enough	Cahaya itu tidak cukup terang
That small lamp will illuminate the road	Lampu kecil itu akan menerangi jalan
The night sky is not very bright	Langit malam tidak terlalu terang
I want ice in my drink	Aku ingin es dalam minuman
Why does the sea look blue today?	Mengapa laut tampak biru hari ini?
Is that cat truly black?	Apakah kucing itu benar-benar hitam?
Why does that flower appear pink?	Mengapa bunga itu tampak merah muda?
That flower has not bloomed this morning	Bunga itu belum mekar pagi ini
Will that flower bloom tomorrow?	Apakah bunga itu akan mekar besok?
I still do not know tomorrow's plan	Aku belum tahu rencana besok
I still do not understand that sentence	Aku belum paham kalimat itu
Do you have another example?	Apakah kamu punya contoh lain?
That news is broadcast through this channel	Berita itu disiarkan lewat saluran ini
I will follow your advice tomorrow	Aku akan mengikuti saranmu besok
That match is being broadcast live	Pertandingan itu sedang disiarkan langsung
I do not always follow his advice	Aku tidak selalu mengikuti nasihatnya
Why did you reject my advice earlier?	Mengapa kamu menolak nasihatku tadi?
He rejected that offer yesterday	Dia menolak tawaran itu kemarin
Do you have a new example sentence?	Apakah kamu punya contoh kalimat baru?
That message was sent through email earlier	Pesan itu dikirim lewat email tadi
That package has already been sent this morning	Paket itu sudah dikirim pagi ini
That conversation was not finished earlier	Obrolan itu belum selesai tadi
I have not finished that task yet	Aku belum menyelesaikan tugas itu
Did you read that thread?	Apakah kamu membaca utas itu?
That message has not been read by anyone yet	Pesan itu belum dibaca siapa pun
We do not watch that channel	Kami tidak menonton saluran itu
That conversation will continue later	Obrolan itu akan berlanjut nanti
That discussion did not continue long	Diskusi itu tidak berlanjut lama
Will this discussion finish?	Apakah diskusi ini akan selesai?
This is not my last chance	Ini bukan kesempatan terakhirku
Is this your favorite restaurant now?	Apakah ini restoran favoritmu sekarang?
I do not like that restaurant	Aku tidak suka restoran itu
That application will be updated tomorrow	Aplikasi itu akan diperbarui besok
I have not received a call from you yet	Aku belum menerima panggilan darimu
He is not a member of that club	Dia bukan anggota klub itu
Will you join our team?	Apakah kamu akan bergabung tim kami?
Is this word a verb?	Apakah kata ini termasuk verba?
Does that cost include tax?	Apakah biaya itu termasuk pajak?
I am studying new grammar	Aku sedang mempelajari tata bahasa baru
We did not pay tax last year	Kami tidak membayar pajak tahun lalu
The office layout is neat	Tata ruang kantor itu rapi
My desk is always neat every morning	Mejaku selalu rapi setiap pagi
This space is not big enough	Ruang ini tidak cukup besar
That video was not shared yesterday	Video itu belum dibagikan kemarin
Has that meeting already started?	Apakah rapat itu sudah dimulai?
I am not working now	Aku tidak bekerja sekarang
I am looking for my motorcycle key	Aku sedang cari kunci motorku
Will you find the answer?	Apakah kamu akan temu jawabannya?
I have not found my wallet earlier	Aku belum temukan dompetku tadi
That group is no longer active	Grup itu tidak aktif lagi
Is that group still active?	Apakah grup itu masih aktif?
That image will be printed tomorrow	Gambar itu akan dicetak besok
I have not sent that message yet	Pesan itu belum aku kirim
That photo was not printed yesterday	Foto itu tidak dicetak kemarin
I have not seen the result yet	Aku belum lihat hasilnya
Are there other options now?	Apakah ada pilihan lainnya sekarang?
I will choose another restaurant	Aku akan memilih restoran lain
I have not chosen that course	Aku belum memilih kursus itu
That choice is not easy for me	Pilihan itu tidak mudah bagiku
That process will be optimized soon	Proses itu akan dioptimalkan segera
I will contact you soon	Aku akan segera menghubungimu
I have not contacted that client yet	Aku belum menghubungi klien itu
Has that client already paid?	Apakah klien itu sudah membayar?
Welcome to our house	Selamat datang di rumah kami
I will not pay that fee	Aku tidak akan membayar biaya itu
That person is waiting outside	Orang itu sedang menunggu di luar
I bought coffee and bread	Aku membeli kopi dan roti
Is this the last message from you?	Apakah ini pesan terakhir darimu?
That message has been read by everyone	Pesan itu sudah dibaca semua orang
All members will attend tomorrow	Semua anggota akan hadir besok
Is that rule always followed?	Apakah aturan itu selalu diikuti?
That term is no longer used	Sebutan itu tidak dipakai lagi
I do not use those shoes	Aku tidak pakai sepatu itu
I will buy those shoes tomorrow	Sepatu itu akan kubeli besok
That book was already bought by me yesterday	Buku itu sudah kubeli kemarin
Have you already practiced today?	Apakah kamu sudah latihan hari ini?
That password must not be shared	Sandi itu tidak boleh dibagikan
Mark that important message now	Tandai pesan penting itu sekarang
He has already completed a big project	Dia telah menyelesaikan proyek besar
That house is not too big	Rumah itu tidak terlalu besar
Is that house too small?	Apakah rumah itu terlalu kecil?
He works as a translator now	Dia bekerja sebagai penerjemah sekarang
I am not a professional translator	Aku bukan penerjemah profesional
Adjust your schedule before the meeting	Sesuaikan jadwalmu sebelum rapat
The application's appearance has already changed	Tampilan aplikasi itu sudah berubah
The weather suddenly changed earlier	Cuaca tiba-tiba berubah tadi
The weather today is not bright	Cuaca hari ini tidak cerah
Will the sky be bright tomorrow?	Apakah langit akan cerah besok?
That balloon suddenly shrank earlier	Balon itu tiba-tiba ciut tadi
That light suddenly went out earlier	Lampu itu tiba-tiba mati tadi
I sometimes forget the house key	Aku kadang-kadang lupa kunci rumah
I have not forgotten that promise	Aku belum lupa janji itu
Do not touch that button now	Jangan sentuh tombol itu sekarang
I am not worried about that exam	Aku tidak khawatir tentang ujian itu
Has that button already been pressed?	Apakah tombol itu sudah ditekan?
I did not touch that item	Aku tidak sentuh barang itu
Press the red button now	Tekan tombol merah sekarang
That bag’s color is not my favorite	Warna tas itu bukan favoritku
I have been colorblind since childhood	Aku buta warna sejak kecil
Was he not blind from birth?	Dia tidak buta sejak lahir?
His child was born this morning	Anaknya lahir tadi pagi
Does this soup use coriander?	Apakah sup ini pakai ketumbar?
A rainbow appeared after the rain stopped	Pelangi muncul setelah hujan berhenti
That star has not appeared tonight	Bintang itu belum muncul malam ini
That bus suddenly stopped on the road	Bus itu tiba-tiba berhenti di jalan
I am rinsing vegetables in the kitchen	Aku sedang membilas sayur di dapur
He has not eaten vegetables today	Dia belum makan sayur hari ini
Choose one between coffee or tea?	Pilih satu antara kopi atau teh?
That concrete wall is very strong	Dinding beton itu sangat kuat
The marine ecosystem is changing quickly	Ekosistem laut sedang berubah cepat
That hotel will feel very luxurious	Hotel itu akan terasa sangat mewah
I have never stayed in a hotel	Aku belum pernah menginap di hotel
Why was the reaction so fast?	Mengapa reaksinya begitu cepat?
I will take that book	Aku akan ambil buku itu
I will transfer this task tomorrow	Aku akan alih tugas ini besok
The door is already locked from inside	Pintunya sudah terkunci dari dalam
I returned home from the office earlier	Aku pulang dari kantor tadi
That cat sleeps inside the box	Kucing itu tidur dalam kotak
He no longer works at the office	Dia tidak bekerja di kantor lagi
I will send that box tomorrow	Kotak itu akan kukirim besok
I will send that package this afternoon	Paket itu akan kukirim sore ini
Why did you not answer my call?	Mengapa kamu tidak angkat teleponku?
My cellphone is being charged now	Ponselku sedang dicas sekarang
That phone has not been charged all night	Ponsel itu belum dicas semalaman
We did not sleep all night	Kami tidak tidur semalaman
I will work all day tomorrow	Aku akan bekerja seharian besok
Why is that microphone not working?	Mengapa mikrofon itu tidak berfungsi?
This forest keeps the ecosystem balanced	Hutan ini menjaga ekosistem tetap seimbang
Its price and quality are not balanced	Harga dan kualitasnya tidak seimbang
Its sound quality is decreasing today	Kualitas suaranya sedang menurun hari ini
Why did the price of coffee rise again?	Mengapa harga kopi naik lagi?
That shop's sales have decreased since January	Penjualan toko itu menurun sejak Januari
Sales this week have not increased	Penjualan minggu ini belum meningkat
The sky suddenly became very dark	Langit tiba-tiba menjadi sangat gelap
That child is eating ice cream	Anak itu sedang makan es krim
I did not add cream to the coffee	Aku tidak menambahkan krim ke kopi
The chef will add salt later	Koki akan menambahkan garam nanti
That chef has not prepared the meal yet	Koki itu belum menyiapkan makanannya
This soup tastes too salty	Sup ini terasa terlalu asin
Have you already prepared the document?	Apakah kamu sudah menyiapkan dokumennya?
That chef did not add salt	Koki itu tidak menambahkan garam
I will join that team	Aku akan gabung tim itu
He is recapping the sales report	Dia sedang rekap laporan penjualan
Has that report already been sent?	Apakah laporan itu sudah dikirim?
The moon has not appeared tonight	Bulan belum terlihat malam ini
That heavy rain finally subsided	Hujan deras itu akhirnya reda
The ticket price is still very low	Harga tiketnya masih sangat rendah
I will pursue my ambition this year	Aku akan mengejar ambisiku tahun ini
Why are you chasing that dream?	Mengapa kamu mengejar mimpi itu?
I once dreamed about the vast ocean	Aku pernah bermimpi tentang laut luas
I am looking at the sea this afternoon	Aku sedang menatap laut sore ini
Will you go to the gym tomorrow?	Apakah kamu akan ke gym besok?
I do not stare at the screen all day	Aku tidak menatap layar sepanjang hari
Throughout the journey, I remained silent	Sepanjang perjalanan, aku tetap diam
Have you been silent since earlier?	Apakah kamu diam sejak tadi?
My phone screen already cracked this morning	Layar ponselku sudah pecah tadi pagi
Why did that glass break earlier?	Mengapa gelas itu pecah tadi?
My shoes are not dry yet, still wet	Sepatuku belum kering, masih basah
Those clothes will be dry tomorrow	Pakaian itu akan kering besok
I am still waiting for your answer	Aku masih menunggu jawabanmu
I have not waited too long yet	Aku belum menunggu terlalu lama
That company will export coffee next year	Perusahaan itu akan ekspor kopi tahun depan
The doctor asked about my medical history yesterday	Dokter menanyakan riwayat penyakitku kemarin
Why are you asking that?	Mengapa kamu menanyakan hal itu?
He has never suffered a serious illness	Dia belum pernah menderita penyakit serius
I do not want to suffer again	Aku tidak ingin menderita lagi
I want to learn a new language tomorrow	Aku ingin belajar bahasa baru besok
Will you try again later?	Apakah kamu akan mencoba lagi nanti?
I have not checked my bank account today	Aku belum memeriksa akun bankku hari ini
I will delete that message now	Aku akan hapus pesan itu sekarang
The teacher wants to foster curiosity	Guru ingin memupuk rasa ingin tahu
Why is that bank closed today?	Mengapa bank itu tutup hari ini?
I did not feel fear earlier	Aku tidak merasakan rasa takut tadi
My curiosity has not been answered yet	Rasa ingin tahuku belum terjawab
I am feeling the cold sea wind	Aku sedang merasakan angin laut dingin
Did he come and leave quickly?	Apakah dia datang dan pergi cepat?
I am holding that big ladder	Aku sedang memegang tangga besar itu
Why did he hold my hand earlier?	Mengapa dia memegang tanganku tadi?
My hand does not hurt anymore now	Tanganku tidak sakit lagi sekarang
I will paint with my fingers later	Aku akan melukis dengan jari nanti
My hair is not dry yet after showering	Rambutku belum kering setelah mandi
Have you bathed this morning?	Apakah kamu sudah mandi pagi ini?
This soap does not make the skin dry	Sabun ini tidak membuat kulit kering
My shoes smell because of yesterday's rain	Sepatuku bau karena hujan kemarin
My skin still feels cold now	Kulitku masih terasa dingin sekarang
Why do you not feel afraid?	Mengapa kamu tidak merasa takut?
Patience is the key to success	Kesabaran adalah kunci keberhasilan
Your patience has not run out today	Kesabaranmu belum habis hari ini
I will remain patient waiting for news	Aku akan tetap sabar menunggu kabar
My foot still hurts after running	Kakiku masih sakit setelah lari
Has your leg healed now?	Apakah kakimu sudah sembuh sekarang?
I have not recovered from the flu	Aku belum sembuh dari flu
My arm is not strong enough to lift the box	Lenganku belum kuat mengangkat kotak
My back feels sore after working	Punggungku terasa sakit setelah kerja
My head is not dizzy anymore today	Kepalaku tidak pusing lagi hari ini
His beard is not very long now	Janggutnya tidak terlalu panjang sekarang
My elbow hurts because I fell yesterday	Sikuku sakit karena jatuh kemarin
That prejudice is not necessarily true	Prasangka itu belum tentu benar
Are you certainly coming tomorrow?	Apakah kamu tentu akan datang besok?
My message has not been answered since yesterday	Pesanku belum dijawab sejak kemarin
I already sent the invoice yesterday	Aku sudah mengirim faktur kemarin
I am typing a long message	Aku sedang mengetik pesan panjang
I do not approve that plan	Aku tidak setujui rencana itu
Do you agree with that decision?	Apakah kamu setuju dengan keputusan itu?
I have not asked my parents' permission yet	Aku belum minta izin orang tua
I will ask for help tomorrow	Aku akan minta bantuan besok
Can you help me now?	Bisakah kamu bantu aku sekarang?
I do not need that money	Aku tidak perlu uang itu
That animal is sleeping in the garden	Hewan itu sedang tidur di kebun
Have you ever worked in a garden?	Apakah kamu pernah bekerja di kebun?
That plant does not grow quickly	Tanaman itu tidak tumbuh cepat
My body still feels tired	Tubuhku masih terasa lelah
My body does not feel better yet	Badanku belum terasa lebih baik
Do you still feel tired?	Apakah kamu masih merasa lelah?
Are you peeling potatoes?	Apakah kamu sedang mengupas kentang?
I am peeling a ripe mango	Aku sedang mengupas mangga matang
Why does the evening sky look yellow?	Mengapa langit sore terlihat kuning?
That mango is already ripe now	Mangga itu sudah matang sekarang
That apple is not fully ripe yet	Apel itu belum matang sepenuhnya
I will buy fresh oranges later	Aku akan membeli jeruk segar nanti
I do not fully understand that problem yet	Aku belum sepenuhnya mengerti masalah itu
Do you understand that explanation?	Apakah kamu mengerti penjelasan itu?
Your explanation earlier was very clear	Penjelasanmu tadi sangat jelas
That fire did not go out last night	Api itu tidak padam semalam
That light suddenly went out	Lampu itu tiba-tiba padam
Have you already washed that spoon?	Apakah sendok itu sudah kamu cuci?
That plate will break later	Piring itu akan pecah nanti
I do not like strange flavor mixtures	Aku tidak suka campuran rasa aneh
These days feel very complicated to me	Hari-hari ini terasa sangat rumit bagiku
I already downloaded that file yesterday	Aku sudah mendownload file itu kemarin
The coming days will feel lighter	Hari-hari mendatang akan terasa lebih ringan
Have you already planned the upcoming event?	Apakah acara mendatang sudah kamu rencanakan?
This problem was not complicated before	Masalah ini belum rumit sebelumnya
I am preparing an important event tomorrow	Aku sedang menyiapkan acara penting besok
Have you already sent that document?	Apakah dokumen itu sudah kamu kirim?
I will bring all the items later	Aku akan membawa semua barang nanti
I have not sent that message earlier	Aku belum kirim pesan itu tadi
He is bringing a gift for you now	Dia sedang membawa hadiah untukmu sekarang
I have not opened that gift until now	Hadiah itu belum aku buka sampai sekarang
This clock has not been running since earlier	Jam ini tidak berjalan sejak tadi
I have not washed the dishes after eating	Aku belum cuci piring setelah makan
That plate is not mine, do not take it	Piring itu bukan milikku, jangan ambil
Do not disturb me while I am working	Jangan kamu ganggu aku saat bekerja
Why have you not taken that package?	Kenapa kamu belum ambil paket itu?
I do not want to disturb you tonight	Aku tidak ingin ganggu kamu malam ini
He once suffered because he lost direction	Dia pernah merana karena kehilangan arah
I do not fully understand your meaning yet	Aku belum sepenuhnya mengerti maksudmu
What do you mean by what you said earlier?	Apa maksudmu dengan ucapan tadi?
I will remember your words forever	Ucapanmu akan aku ingat selamanya
Will you wait here forever?	Apakah kamu akan menunggu di sini selamanya?
I will love you forever	Aku akan mencintaimu selamanya
He does not stay here forever	Dia tidak tinggal di sini selamanya
Will this last forever?	Apakah ini akan berlangsung selamanya?
We once hoped to live happily forever	Kami pernah berharap hidup bahagia selamanya
I do not want to wait forever anymore	Aku tidak ingin menunggu selamanya lagi
They will be together forever later	Mereka akan bersama selamanya nanti
That memory feels alive forever	Kenangan itu terasa hidup selamanya
I have not forgotten you forever	Aku belum melupakanmu selamanya
Will he leave forever?	Apakah dia akan pergi selamanya?
This love will not disappear forever	Cinta ini tidak akan hilang selamanya
I no longer love you like before	Aku tidak lagi mencintaimu seperti dulu
That meeting lasted longer earlier	Pertemuan itu berlangsung lebih lama tadi
I hope you will come tomorrow	Aku berharap kamu akan datang besok
That memory still feels warm now	Kenangan itu masih terasa hangat sekarang
Is this task too difficult for you?	Apakah tugas ini terlalu sulit untukmu?
This food is too spicy for me now	Makanan ini terlalu pedas untukku sekarang
Why did you say that to me earlier?	Kenapa kamu bilang itu kepadaku tadi?
He gave a gift to his friend yesterday	Dia memberikan hadiah pada temannya kemarin
I will give help if you need it	Aku akan memberikan bantuan jika kamu perlu
I have not thrown away the trash since yesterday	Aku belum membuang sampah sejak kemarin
Do not throw away food that is still edible	Jangan membuang makanan yang masih layak
He seems like he does not care about this problem	Dia kayak tidak peduli dengan masalah ini
Is this clothing still suitable to wear?	Apakah pakaian ini masih layak dipakai?
I do not care anymore about that matter	Aku tidak peduli lagi tentang hal itu
I have never heard that thing before	Hal itu belum pernah aku dengar sebelumnya
I was listening to music when you arrived	Aku sedang dengar musik saat kamu datang
At that moment I did not know what to do	Saat itu aku tidak tahu harus apa
I have not read this book until finished	Buku ini belum aku baca sampai selesai
Have you already finished that task?	Apakah kamu sudah selesai dengan tugas itu?
This task is not too difficult for me	Tugas ini tidak terlalu sulit bagiku
Will this problem become easy later?	Apakah soal ini akan menjadi mudah nanti?
That leaf has not turned green yet	Daun itu belum berubah menjadi hijau
That leaf fell slowly earlier this morning	Daun itu jatuh perlahan tadi pagi
I want to become more patient starting now	Aku ingin menjadi lebih sabar mulai sekarang
That car moves slowly on the narrow road	Mobil itu bergerak perlahan di jalan sempit
Can this machine still move?	Apakah mesin ini masih bisa bergerak?
That machine has not worked since yesterday	Mesin itu tidak bekerja sejak kemarin
I have not met him since that incident	Aku belum bertemu dia sejak kejadian itu
I am improving my ability to speak Indonesian	Aku sedang meningkatkan kemampuan berbicara bahasa Indonesia
I will always remember that incident	Kejadian itu akan selalu aku ingat
That possibility cannot be confirmed by me yet now	Kemungkinan itu belum bisa aku pastikan sekarang
Make sure you do not forget to bring the key	Pastikan kamu tidak lupa membawa kunci
I once forgot an important promise before	Aku pernah lupa janji penting sebelumnya
Do I still have a chance to try?	Apakah aku masih punya kesempatan untuk mencoba?
He does not have the strength to fight anymore	Dia tidak memiliki kekuatan untuk melawan lagi
I do not want to fight them without reason	Aku tidak ingin melawan mereka tanpa alasan
How long will you stay here?	Berapa lama kamu akan tinggal di sini?
Have you ever slept in the loft?	Apakah kamu pernah tidur di loteng?
I am currently cleaning the loft	Aku sedang membersihkan loteng sekarang
He is not too clingy anymore now	Dia tidak terlalu manja lagi sekarang
Will I seem clingy in front of you?	Aku akan terlihat manja di depanmu?
That building is an old colonial heritage	Bangunan itu merupakan peninggalan kolonial lama
That building is not finished being built yet	Bangunan itu belum selesai dibangun sekarang
Does this feel like heaven to you?	Apakah ini terasa seperti surga bagimu?
That layer of ice is very thin this morning	Lapisan es itu sangat tipis pagi ini
I still cannot help you today	Aku belum bisa bantu kamu hari ini
Let me handle this later	Biar aku yang urus ini nanti
I am not sure he will come	Aku tidak yakin dia akan datang
Why does this task feel very difficult?	Kenapa tugas ini terasa sangat susah?
I already spoke honestly earlier	Aku sudah ngomong jujur tadi
I still don’t understand the meaning until now	Aku belum ngerti maksudnya sampai sekarang
That cat was not fat at all before	Kucing itu dulu tidak gendut sama sekali
I need a pause before continuing to talk	Aku butuh jeda sebelum lanjut bicara
Please play that music again later	Tolong putar musik itu lagi nanti
I am learning to manage time better	Aku sedang belajar kelola waktu lebih baik
He already rejected that offer yesterday	Dia sudah tolak tawaran itu kemarin
Try to stay calm when the situation is chaotic	Coba tetap tenang saat situasi kacau
I will stay calm facing this problem	Aku akan tetap tenang menghadapi masalah ini
This device is not yet connected to the network	Perangkat ini belum terkoneksi ke jaringan
Will this network be stable later tonight?	Apakah jaringan ini akan stabil malam nanti?
That old device can no longer be used	Perangkat lama itu tidak bisa digunakan lagi
His condition became stable after yesterday’s treatment	Kondisinya sudah stabil setelah perawatan kemarin
I am undergoing routine treatment this month	Aku sedang menjalani perawatan rutin bulan ini
Have you been exercising regularly lately?	Apakah kamu sudah rutin olahraga akhir-akhir ini?
I rarely get enough sleep lately	Aku jarang tidur cukup akhir-akhir ini
They will build a new house next year	Mereka akan membangun rumah baru tahun depan
I had not woken up until noon earlier	Aku belum bangun sampai siang tadi
I will not build the business alone	Aku tidak akan membangun bisnis sendirian
Did you wake up early this morning?	Apakah kamu sudah bangun pagi tadi?
That small business has not grown well yet	Bisnis kecil itu belum berkembang dengan baik
Can this idea develop further?	Apakah ide ini bisa berkembang lebih jauh?
He will be blunt about that issue later	Dia akan blak-blakan soal masalah itu nanti
Is he always blunt when angry?	Apakah dia selalu blak-blakan saat marah?
I already handled all the documents earlier	Aku sudah urus semua dokumen tadi
This is a big opportunity for us	Ini merupakan kesempatan besar bagi kita
That architectural style is not modern colonial	Gaya arsitektur itu bukan kolonial modern
I want to change my hairstyle tomorrow	Aku ingin ubah gaya rambut besok
My hair is not dry yet after showering earlier	Rambutku belum kering setelah mandi tadi
I was showering when you called	Aku sedang mandi saat kamu menelepon
Those clothes have been dry since morning	Pakaian itu sudah kering sejak pagi
I have never seen a wild elephant in person	Aku belum pernah melihat gajah liar langsung
He answered directly without thinking long	Dia langsung menjawab tanpa berpikir lama
That layer of paint is not fully dry yet	Lapisan cat itu belum kering sempurna
The result is not perfect but good enough	Hasilnya tidak sempurna tapi cukup baik
I will paint the bedroom wall tomorrow	Aku akan cat dinding kamar besok
That room has not been cleaned since yesterday	Kamar itu belum dibersihkan sejak kemarin
Has this bathroom been cleaned?	Apakah kamar mandi ini sudah dibersihkan?
I did not understand the meaning of your question earlier	Aku tidak paham maksud pertanyaanmu tadi
That wall will be repainted next week	Dinding itu akan dicat ulang minggu depan
Earlier I forgot to bring my wallet to the office	Tadi aku lupa membawa dompet ke kantor
That house was repainted last month	Rumah itu sudah dicat ulang bulan lalu
I have to repeat that practice tomorrow	Aku harus ulang latihan itu besok
He never practices before the match	Dia tidak pernah latihan sebelum pertandingan
I have not found something the same like that	Aku belum menemukan yang sama seperti itu
I will go back to bed later	Aku akan kembali ke tempat tidur nanti
Only one person has not arrived yet	Hanya satu orang yang belum datang
I bought a rare book yesterday	Aku membeli sebuah buku langka kemarin
Opportunities like this are very rare now	Kesempatan seperti ini sangat langka sekarang
He does not want to live like before again	Dia tidak ingin hidup seperti dulu lagi
We have not agreed about that plan yet	Kami belum sepakat tentang rencana itu
Finally we agreed after a long discussion	Akhirnya kami sepakat setelah diskusi panjang
That discussion did not go smoothly yesterday	Diskusi itu tidak berjalan lancar kemarin
Do you know about the new rule changes?	Apakah kamu tahu tentang perubahan aturan baru?
That change has not been clearly felt by everyone	Perubahan itu belum terasa jelas bagi semua orang
All those plans will succeed if consistent	Semua rencana itu akan berhasil jika konsisten
I still cannot consistently maintain a new habit	Aku belum bisa konsisten menjaga kebiasaan baru
That bad habit has slowly changed	Kebiasaan buruk itu sudah berubah perlahan
Today's weather is not as bad as yesterday	Cuaca hari ini tidak seburuk kemarin
Will that decision have a bad impact later?	Apakah keputusan itu akan berdampak buruk nanti?
That decision has not had a big impact so far	Keputusan itu belum berdampak besar sejauh ini
So far I have not seen real results	Sejauh ini aku belum melihat hasil nyata
That problem feels real to many people	Masalah itu terasa nyata bagi banyak orang
I feel comfortable living here now	Aku merasa nyaman tinggal di sini sekarang
He no longer lives in that city	Dia tidak tinggal di kota itu lagi
I will also go with them	Aku juga akan ikut pergi bersama mereka
He reads a book and writes notes tonight	Dia membaca buku dan menulis catatan malam ini
He has worked as a teacher since last year	Dia bekerja sebagai guru sejak tahun lalu
I want to become more patient going forward	Aku ingin menjadi lebih sabar ke depannya
This is a choice that is not easy	Ini adalah pilihan yang tidak mudah
I was late because of heavy traffic earlier	Aku terlambat karena macet parah tadi
The damage is not severe after that incident	Kerusakannya belum parah setelah kejadian itu
Do you remember that incident last night?	Apakah kamu ingat kejadian itu semalam?
The damage is not visible from outside the house	Kerusakannya tidak terlihat dari luar rumah
I still remember his face until now	Aku masih ingat wajahnya sampai sekarang
You did not remember that promise yesterday	Kamu tidak ingat janji itu kemarin
Do you remember the way there?	Apakah kamu ingat jalan ke sana?
I will remember your advice forever	Aku akan ingat nasihatmu selamanya
He has not remembered my friend's name earlier	Dia belum ingat nama temanku tadi
We rarely remember small details like that	Kami jarang ingat detail kecil seperti itu
Remember to bring the keys before leaving	Ingat untuk membawa kunci sebelum keluar
I once remembered that song clearly	Aku pernah ingat lagu itu dengan jelas
Why do you not remember that meeting?	Mengapa kamu tidak ingat pertemuan itu?
He will remember this moment his whole life	Dia akan ingat momen ini sepanjang hidupnya
I did not recognize that face earlier	Aku tidak mengenali wajah itu tadi
I will follow your advice starting tomorrow	Aku akan mengikuti nasihatmu mulai besok
Have you checked the details of this order?	Apakah kamu sudah memeriksa detail pesanan ini?
He has not left the room since earlier	Dia belum keluar dari ruangan sejak tadi
