Front	Back
Pelangi muncul setelah hujan berhenti	A rainbow appeared after the rain stopped
Aku sedang membilas sayur di dapur	I am rinsing vegetables in the kitchen
Pilih satu antara kopi atau teh?	Choose one between coffee or tea?
Dinding beton itu sangat kuat	That concrete wall is very strong
Ekosistem laut sedang berubah cepat	The marine ecosystem is changing quickly
Hotel itu akan terasa sangat mewah	That hotel will feel very luxurious
Aku belum pernah menginap di hotel	I have never stayed in a hotel
Mengapa reaksinya begitu cepat?	Why was the reaction so fast?
Aku akan ambil buku itu	I will take that book
Aku akan alih tugas ini besok	I will transfer this task tomorrow
Pintunya sudah terkunci dari dalam	The door is already locked from inside
Kucing itu tidur dalam kotak	That cat sleeps inside the box
Kotak itu akan kukirim besok	I will send that box tomorrow
Mengapa kamu tidak angkat teleponku?	Why did you not answer my call?
Ponselku sedang dicas sekarang	My cellphone is being charged now
Ponsel itu belum dicas semalaman	That phone has not been charged all night
Aku akan bekerja seharian besok	I will work all day tomorrow
Mengapa mikrofon itu tidak berfungsi?	Why is that microphone not working?
Hutan ini menjaga ekosistem tetap seimbang	This forest keeps the ecosystem balanced
Harga dan kualitasnya tidak seimbang	Its price and quality are not balanced
Kualitas suaranya sedang menurun hari ini	Its sound quality is decreasing today
Mengapa harga kopi naik lagi?	Why did the price of coffee rise again?
Penjualan toko itu menurun sejak Januari	That shop's sales have decreased since January
Penjualan minggu ini belum meningkat	Sales this week have not increased
Anak itu sedang makan es krim	That child is eating ice cream
Koki akan menambahkan garam nanti	The chef will add salt later
Koki itu belum menyiapkan makanannya	That chef has not prepared the meal yet
Apakah kamu sudah menyiapkan dokumennya?	Have you already prepared the document?
Aku akan gabung tim itu	I will join that team
Dia sedang rekap laporan penjualan	He is recapping the sales report
Bulan belum terlihat malam ini	The moon has not appeared tonight
Hujan deras itu akhirnya reda	That heavy rain finally subsided
Harga tiketnya masih sangat rendah	The ticket price is still very low
Aku akan mengejar ambisiku tahun ini	I will pursue my ambition this year
Mengapa kamu mengejar mimpi itu?	Why are you chasing that dream?
Aku pernah bermimpi tentang laut luas	I once dreamed about the vast ocean
Aku sedang menatap laut sore ini	I am looking at the sea this afternoon
Apakah kamu akan ke gym besok?	Will you go to the gym tomorrow?
Aku tidak menatap layar sepanjang hari	I do not stare at the screen all day
Sepanjang perjalanan, aku tetap diam	Throughout the journey, I remained silent
Sepatuku belum kering, masih basah	My shoes are not dry yet, still wet
Pakaian itu akan kering besok	Those clothes will be dry tomorrow
Aku masih menunggu jawabanmu	I am still waiting for your answer
Perusahaan itu akan ekspor kopi tahun depan	That company will export coffee next year
Dokter menanyakan riwayat penyakitku kemarin	The doctor asked about my medical history yesterday
Mengapa kamu menanyakan hal itu?	Why are you asking that?
Dia belum pernah menderita penyakit serius	He has never suffered a serious illness
Aku belum memeriksa akun bankku hari ini	I have not checked my bank account today
Aku akan hapus pesan itu sekarang	I will delete that message now
Guru ingin memupuk rasa ingin tahu	The teacher wants to foster curiosity
Mengapa bank itu tutup hari ini?	Why is that bank closed today?
Aku tidak merasakan rasa takut tadi	I did not feel fear earlier
Rasa ingin tahuku belum terjawab	My curiosity has not been answered yet
Aku sedang merasakan angin laut dingin	I am feeling the cold sea wind
Aku sedang memegang tangga besar itu	I am holding that big ladder
Mengapa dia memegang tanganku tadi?	Why did he hold my hand earlier?
Aku akan melukis dengan jari nanti	I will paint with my fingers later
Rambutku belum kering setelah mandi	My hair is not dry yet after showering
Sabun ini tidak membuat kulit kering	This soap does not make the skin dry
Sepatuku bau karena hujan kemarin	My shoes smell because of yesterday's rain
Kulitku masih terasa dingin sekarang	My skin still feels cold now
Kesabaran adalah kunci keberhasilan	Patience is the key to success
Kesabaranmu belum habis hari ini	Your patience has not run out today
Aku akan tetap sabar menunggu kabar	I will remain patient waiting for news
Kakiku masih sakit setelah lari	My foot still hurts after running
Apakah kakimu sudah sembuh sekarang?	Has your leg healed now?
Aku belum sembuh dari flu	I have not recovered from the flu
Lenganku belum kuat mengangkat kotak	My arm is not strong enough to lift the box
Punggungku terasa sakit setelah kerja	My back feels sore after working
Kepalaku tidak pusing lagi hari ini	My head is not dizzy anymore today
Janggutnya tidak terlalu panjang sekarang	His beard is not very long now
Sikuku sakit karena jatuh kemarin	My elbow hurts because I fell yesterday
Prasangka itu belum tentu benar	That prejudice is not necessarily true
Pesanku belum dijawab sejak kemarin	My message has not been answered since yesterday
Aku sudah mengirim faktur kemarin	I already sent the invoice yesterday
Aku tidak setujui rencana itu	I do not approve that plan
Apakah kamu setuju dengan keputusan itu?	Do you agree with that decision?
Aku belum minta izin orang tua	I have not asked my parents' permission yet
Aku akan minta bantuan besok	I will ask for help tomorrow
Bisakah kamu bantu aku sekarang?	Can you help me now?
Hewan itu sedang tidur di kebun	That animal is sleeping in the garden
Tanaman itu tidak tumbuh cepat	That plant does not grow quickly
Tubuhku masih terasa lelah	My body still feels tired
Badanku belum terasa lebih baik	My body does not feel better yet
Apakah kamu sedang mengupas kentang?	Are you peeling potatoes?
Aku sedang mengupas mangga matang	I am peeling a ripe mango
Mengapa langit sore terlihat kuning?	Why does the evening sky look yellow?
Apel itu belum matang sepenuhnya	That apple is not fully ripe yet
Aku akan membeli jeruk segar nanti	I will buy fresh oranges later
Apakah kamu mengerti penjelasan itu?	Do you understand that explanation?
Penjelasanmu tadi sangat jelas	Your explanation earlier was very clear
Api itu tidak padam semalam	That fire did not go out last night
Apakah sendok itu sudah kamu cuci?	Have you already washed that spoon?
Piring itu akan pecah nanti	That plate will break later
Aku tidak suka campuran rasa aneh	I do not like strange flavor mixtures
Hari-hari ini terasa sangat rumit bagiku	These days feel very complicated to me
Aku sudah mendownload file itu kemarin	I already downloaded that file yesterday
Hari-hari mendatang akan terasa lebih ringan	The coming days will feel lighter
Apakah acara mendatang sudah kamu rencanakan?	Have you already planned the upcoming event?
Dia sedang membawa hadiah untukmu sekarang	He is bringing a gift for you now
Piring itu bukan milikku, jangan ambil	That plate is not mine, do not take it
Jangan kamu ganggu aku saat bekerja	Do not disturb me while I am working
Dia pernah merana karena kehilangan arah	He once suffered because he lost direction
Apa maksudmu dengan ucapan tadi?	What do you mean by what you said earlier?
Ucapanmu akan aku ingat selamanya	I will remember your words forever
Aku akan mencintaimu selamanya	I will love you forever
Apakah ini akan berlangsung selamanya?	Will this last forever?
Kami pernah berharap hidup bahagia selamanya	We once hoped to live happily forever
Mereka akan bersama selamanya nanti	They will be together forever later
Kenangan itu terasa hidup selamanya	That memory feels alive forever
Aku belum melupakanmu selamanya	I have not forgotten you forever
Cinta ini tidak akan hilang selamanya	This love will not disappear forever
Aku tidak lagi mencintaimu seperti dulu	I no longer love you like before
Pertemuan itu berlangsung lebih lama tadi	That meeting lasted longer earlier
Dia memberikan hadiah pada temannya kemarin	He gave a gift to his friend yesterday
Jangan membuang makanan yang masih layak	Do not throw away food that is still edible
Dia kayak tidak peduli dengan masalah ini	He seems like he does not care about this problem
Buku ini belum aku baca sampai selesai	I have not read this book until finished
Daun itu jatuh perlahan tadi pagi	That leaf fell slowly earlier this morning
Mobil itu bergerak perlahan di jalan sempit	That car moves slowly on the narrow road
Apakah mesin ini masih bisa bergerak?	Can this machine still move?
Aku belum bertemu dia sejak kejadian itu	I have not met him since that incident
Kemungkinan itu belum bisa aku pastikan sekarang	That possibility cannot be confirmed by me yet now
Dia tidak memiliki kekuatan untuk melawan lagi	He does not have the strength to fight anymore
Aku tidak ingin melawan mereka tanpa alasan	I do not want to fight them without reason
Berapa lama kamu akan tinggal di sini?	How long will you stay here?
Apakah kamu pernah tidur di loteng?	Have you ever slept in the loft?
Dia tidak terlalu manja lagi sekarang	He is not too clingy anymore now
Aku akan terlihat manja di depanmu?	Will I seem clingy in front of you?
Bangunan itu merupakan peninggalan kolonial lama	That building is an old colonial heritage
Bangunan itu belum selesai dibangun sekarang	That building is not finished being built yet
Apakah ini terasa seperti surga bagimu?	Does this feel like heaven to you?
Lapisan es itu sangat tipis pagi ini	That layer of ice is very thin this morning
Biar aku yang urus ini nanti	Let me handle this later
Aku tidak yakin dia akan datang	I am not sure he will come
Kenapa tugas ini terasa sangat susah?	Why does this task feel very difficult?
Aku sudah ngomong jujur tadi	I already spoke honestly earlier
Aku belum ngerti maksudnya sampai sekarang	I still don’t understand the meaning until now
Kucing itu dulu tidak gendut sama sekali	That cat was not fat at all before
Aku butuh jeda sebelum lanjut bicara	I need a pause before continuing to talk
Tolong putar musik itu lagi nanti	Please play that music again later
Aku sedang belajar kelola waktu lebih baik	I am learning to manage time better
Dia sudah tolak tawaran itu kemarin	He already rejected that offer yesterday
Coba tetap tenang saat situasi kacau	Try to stay calm when the situation is chaotic
Aku akan tetap tenang menghadapi masalah ini	I will stay calm facing this problem
Perangkat ini belum terkoneksi ke jaringan	This device is not yet connected to the network
Apakah jaringan ini akan stabil malam nanti?	Will this network be stable later tonight?
Perangkat lama itu tidak bisa digunakan lagi	That old device can no longer be used
Kondisinya sudah stabil setelah perawatan kemarin	His condition became stable after yesterday’s treatment
Aku sedang menjalani perawatan rutin bulan ini	I am undergoing routine treatment this month
Apakah kamu sudah rutin olahraga akhir-akhir ini?	Have you been exercising regularly lately?
Mereka akan membangun rumah baru tahun depan	They will build a new house next year
Aku belum bangun sampai siang tadi	I had not woken up until noon earlier
Aku tidak akan membangun bisnis sendirian	I will not build the business alone
Bisnis kecil itu belum berkembang dengan baik	That small business has not grown well yet
Apakah ide ini bisa berkembang lebih jauh?	Can this idea develop further?
Dia akan blak-blakan soal masalah itu nanti	He will be blunt about that issue later
Gaya arsitektur itu bukan kolonial modern	That architectural style is not modern colonial
Aku ingin ubah gaya rambut besok	I want to change my hairstyle tomorrow
Aku belum pernah melihat gajah liar langsung	I have never seen a wild elephant in person
Dia langsung menjawab tanpa berpikir lama	He answered directly without thinking long
Lapisan cat itu belum kering sempurna	That layer of paint is not fully dry yet
Hasilnya tidak sempurna tapi cukup baik	The result is not perfect but good enough
Dinding itu akan dicat ulang minggu depan	That wall will be repainted next week
Aku membeli sebuah buku langka kemarin	I bought a rare book yesterday
Kami belum sepakat tentang rencana itu	We have not agreed about that plan yet
Diskusi itu tidak berjalan lancar kemarin	That discussion did not go smoothly yesterday
Apakah kamu tahu tentang perubahan aturan baru?	Do you know about the new rule changes?
Semua rencana itu akan berhasil jika konsisten	All those plans will succeed if consistent
Aku belum bisa konsisten menjaga kebiasaan baru	I still cannot consistently maintain a new habit
Kebiasaan buruk itu sudah berubah perlahan	That bad habit has slowly changed
Cuaca hari ini tidak seburuk kemarin	Today's weather is not as bad as yesterday
Apakah keputusan itu akan berdampak buruk nanti?	Will that decision have a bad impact later?
Keputusan itu belum berdampak besar sejauh ini	That decision has not had a big impact so far
Sejauh ini aku belum melihat hasil nyata	So far I have not seen real results
Aku merasa nyaman tinggal di sini sekarang	I feel comfortable living here now
Aku juga akan ikut pergi bersama mereka	I will also go with them
Dia membaca buku dan menulis catatan malam ini	He reads a book and writes notes tonight
Aku ingin menjadi lebih sabar ke depannya	I want to become more patient going forward
Aku terlambat karena macet parah tadi	I was late because of heavy traffic earlier
Kerusakannya belum parah setelah kejadian itu	The damage is not severe after that incident
Aku masih ingat wajahnya sampai sekarang	I still remember his face until now
Aku akan ingat nasihatmu selamanya	I will remember your advice forever
Dia belum ingat nama temanku tadi	He has not remembered my friend's name earlier
Ingat untuk membawa kunci sebelum keluar	Remember to bring the keys before leaving
Aku pernah ingat lagu itu dengan jelas	I once remembered that song clearly
Dia akan ingat momen ini sepanjang hidupnya	He will remember this moment his whole life
Aku tidak mengenali wajah itu tadi	I did not recognize that face earlier
Apakah kamu sudah memeriksa detail pesanan ini?	Have you checked the details of this order?
Lagu itu sedang diputar di radio sekarang	That song is being played on the radio now
Aku tidak mengenali suaranya di telepon tadi	I did not recognize his voice on the phone earlier
Kondisinya belum membaik sejak kemarin malam	His condition has not improved since last night
Kualitas produk ini akan meningkat tahun depan	The quality of this product will improve next year
Kulitku belum pulih sepenuhnya setelah luka itu	My skin has not fully recovered after that wound
Dia akan pulih lebih cepat dengan istirahat cukup	He will recover faster with enough rest
Luka itu belum sembuh meskipun sudah dirawat	That wound has not healed even though it has been treated
Aku harus istirahat agar cepat pulih	I must rest so I recover quickly
Dia belum keluar dari rumah sakit sejak operasi	He has not left the hospital since the surgery
Privasi kamu harus tetap dijaga dengan baik	Your privacy must always be properly protected
Situasinya tidak terlalu kacau seperti yang terlihat	The situation is not as chaotic as it appears
Aku sudah capek bekerja seharian ini	I am already tired from working all day
Cowok itu tidak terlalu tinggi dibanding temannya	That boy is not very tall compared to his friend
Apakah cewek itu sudah pergi dari sini?	Has that girl already left from here?
Harga ini lebih murah dibanding toko sebelah	This price is cheaper compared to the shop next door
Toko itu berada di sebelah rumahku sekarang	That shop is next to my house now
Aku tidak mau belah kayu itu sendirian	I do not want to split that wood alone
Kayu itu sudah dipotong menjadi beberapa bagian	That wood has already been cut into several pieces
Awal cerita itu tidak terlalu menarik bagiku	The beginning of that story is not very interesting to me
Biaya tambahan itu akan dihitung nanti	That additional fee will be calculated later
Aku belum membayar pajak kendaraan tahun ini	I have not paid the vehicle tax this year
Total biayanya sudah dihitung sejak kemarin	The total cost has already been calculated since yesterday
Aku tidak ingin mengulang kesalahan lampau lagi	I do not want to repeat past mistakes again
Gimana kamu bisa menyelesaikan masalah itu?	How did you manage to solve that problem?
Pria itu tidak bekerja di sini lagi	That man does not work here anymore
Aku tidak mau ikut pula	I don't want to join either
Aku sudah lelah, lagipula hujan deras	I am already tired, besides it’s raining heavily
Dia belum berani bicara jujur	He is not yet brave to speak honestly
Aku sedang bekerja keras kini	I am working hard now
Aku belum fasih berbicara Jepang	I am not yet fluent speaking Japanese
Dia akan berbahasa Indonesia dengan lancar	He will speak Indonesian fluently
Apakah penjelasanmu cukup singkat?	Is your explanation concise enough?
Aku sedang mencoba variasi baru resep	I am trying a new variation of the recipe
Kemarin aku bikin kue cokelat sendiri	Yesterday I made a chocolate cake myself
Aku tidak suka kue terlalu manis	I do not like cakes that are too sweet
Dia makin cepat memahami pelajaran	He is increasingly quick at understanding lessons
Masih tersisa sedikit waktu sebelum berangkat	There is still a little time remaining before departure
Pemahamanmu tentang topik itu makin dalam	Your understanding of that topic is getting deeper
Dia belum masuk dalam daftar peserta	He has not yet entered the participant list
Para peserta akan berkumpul besok pagi	The participants will gather tomorrow morning
Namaku tidak ada dalam daftar itu	My name is not on that list
Aku akan dapatkan tiket itu nanti	I will obtain that ticket later
Apakah mereka sudah membeli semen cukup?	Have they already bought enough cement?
Dokter memeriksa air mani di laboratorium	The doctor examines semen in the laboratory
Aku belum memahami fungsi imbuhan itu	I do not yet understand the function of that affix
Inilah alasan aku memilih jalan ini	This is the reason I chose this path
Dia tidak memakai akal saat marah	He does not use reason when angry
Nilai ujianmu belum keluar hari ini	Your exam score has not come out today
Gua lagi nunggu lo di luar	I am waiting for you outside
Gue belum pernah ke sana	I have never been there
Lo bakal ikut kita malam ini?	Will you join us tonight?
Apakah Anda sudah menerima email itu?	Have you already received that email?
Kalian akan berangkat jam berapa?	What time will you all leave?
Beliau pernah mengajar di universitas itu	She once taught at that university
Kami bukan bagian dari tim tersebut	We are not part of that team
Aku bukan lagi mahasiswa di sana	I am no longer a student there
Mereka bukan teman dekatku dulu	They were not my close friends before
Ini bukan pertama kali aku mencoba	This is not the first time I try
Dia bukan satu-satunya pilihan sekarang	He is not the only option now
Rumah itu bukan milik keluargaku	That house is not my family's property
Dia bukan sedang bercanda saat itu	She was not joking at that time
Ini bukan sesuatu yang harus ditakuti	This is not something to be afraid of
Aku tinggal di apartemen kecil sekarang	I live in a small apartment now
Jangan minum itu, itu racun	Do not drink that, that is poison
Aku cuma ingin istirahat sebentar	I only want to rest for a moment
Waktu ini sangat berharga bagiku sekarang	This time is very valuable to me now
Aku sangat menghargai bantuanmu tadi	I really appreciate your help earlier
Dia belum mengatakan alasan sebenarnya	She has not said the real reason
Aku sering melamun saat perjalanan panjang	I often daydream during long trips
Apa yang sebenarnya terjadi tadi malam?	What actually happened last night?
Aku tidak bisa larang dia pergi	I cannot forbid him to leave
Pengunjung dilarang masuk setelah jam sepuluh	Visitors are forbidden to enter after ten
Ini bagian tersulit dari proyek itu	This is the hardest part of that project
Ini tugas tersulit yang pernah aku kerjakan	This is the most difficult task I have ever done
Dia adalah anggota termuda di tim ini	He is the youngest member on this team
Ini cara termudah untuk menyelesaikan masalah	This is the easiest way to solve the problem
Soal ini tidak mudah untuk dipahami	This question is not easy to understand
Dia masih muda tapi sudah sukses	He is still young but already successful
Aku mau ikut, tapi aku belum siap	I want to join, but I am not ready
Aku sudah mencoba, tetapi hasilnya belum jelas	I have already tried, but the result is not clear yet
Guru akan uji kemampuan kita besok	The teacher will test our ability tomorrow
Aku belum menandai tanggal itu di kalender	I have not marked that date on the calendar
Aku tidak pandai bermain catur sejak dulu	I have not been good at playing chess since before
Rapat itu batal karena hujan deras	The meeting was canceled because of heavy rain
Aku tidak izinkan mereka masuk malam ini	I do not allow them to enter tonight
Segarkan pikiranmu sebelum mengambil keputusan	Refresh your mind before making a decision
Kami akan pergi ke pantai saat hari libur	We will go to the beach during the holiday
Pikiran itu tidak pernah hilang dariku	That thought has never left my mind
Alat ini menjadi penghemat energi di rumah	This tool becomes an energy saver at home
Baterai ini tidak punya daya lagi	This battery no longer has power
Aku sedang mengisi baterai ponsel sekarang	I am charging my phone battery now
Pesawat itu akan mendarat dalam sepuluh menit	That airplane will land in ten minutes
Aku belum mengisi bensin sejak kemarin	I have not filled up fuel since yesterday
Aku sudah menghilangkan ketombe sejak bulan lalu	I have gotten rid of dandruff since last month
Ketombe itu tidak hilang walau sudah keramas	That dandruff doesn't disappear even after washing hair
Dia tidak membeli cincin emas itu	He did not buy that gold ring
Aku akan membeli cincin untuk lamaran besok	I will buy a ring for the proposal tomorrow
Menu ini dibuat khusus untuk pelanggan baru	This menu is specially made for new customers
Rencananya tidak akan berubah meski ada masalah	The plan will not change even if there are problems
Rumah tua itu akan direnovasi tahun depan	That old house will be renovated next year
Dia belum merasa tua meski rambutnya memutih	He doesn't feel old even though his hair turned white
Aku akan merawat orang tua itu dengan baik	I will take care of that elderly person well
Gedung itu sedang direnovasi sejak awal tahun	That building has been being renovated since early this year
Rambutnya sudah memutih sejak usia muda	His hair has already turned gray since a young age
Usianya belum cukup untuk mengikuti ujian itu	His age is not enough to take that exam
Kamu berasal dari mana asal keluargamu?	Where does your family originally come from?
Bisnisnya tidak berkembang meski sudah lama berjalan	His business is not developing even though it has run long
Kematian itu belum dijelaskan oleh dokter	That death has not been explained by the doctor
Apakah dia sudah meninggal sebelum kamu datang?	Did he die before you arrived?
Tanaman itu mati karena tidak disiram kemarin	That plant died because it was not watered yesterday
Perusahaan itu akan mengotomatiskan proses produksi tahun depan	That company will automate the production process next year
Produksi pabrik itu tidak meningkat bulan ini	That factory's production did not increase this month
Pabrik itu akan tutup sementara karena renovasi	That factory will temporarily close because of renovation
Kami tinggal sementara di rumah saudara dekat sini	We are temporarily staying at a relative's house nearby
Kenapa lampu ini tidak menyala?	Why isn't this lamp on?
Aku akan membawa senter nanti malam	I will bring a flashlight later tonight
Mode pesawat belum aku aktifkan	I haven't activated airplane mode yet
Apakah aku mengganggu kamu sekarang?	Am I disturbing you right now?
Alarm itu belum berbunyi pagi ini	That alarm hasn't rung this morning
Bel pintu sedang berbunyi keras	The doorbell is ringing loudly
Alarm itu sudah disetel sejak tadi	That alarm has already been set earlier
Aku akan setel alarm sebelum tidur	I will set the alarm before sleeping
Lampu ini akan mati otomatis nanti	This light will turn off automatically later
Sistem keamanan sedang diperbarui sekarang	The security system is being updated now
Kapan kamu akan perbarui aplikasi ini?	When will you update this app?
Perekam itu sedang merekam suara kita	That recorder is recording our voices
Kamera itu belum aku pakai hari ini	I haven't used that camera today
Apakah kamu punya akses ke sistem ini?	Do you have access to this system?
Aku tidak tahu lokasi tempat itu	I don't know the location of that place
Cahaya ini terlalu redup untuk membaca	This light is too dim for reading
Aku akan belajar lebih fokus malam ini	I will study more focused tonight
Privasi aku tidak boleh kamu langgar	My privacy must not be violated by you
Aku akan periksa pesan itu nanti	I will check that message later
Kamu boleh masuk kalau sudah siap	You may enter once you are ready
Aku tidak bisa membuka file itu	I cannot open that file
Aku akan mengirim usulan besok	I will send the proposal tomorrow
Negara itu sedang menghadapi krisis ekonomi	That country is currently facing an economic crisis
Dia belum pulih sejak kecelakaan kemarin	He has not recovered since yesterday's accident
Apakah dia mengalami kecelakaan tadi malam?	Did he have an accident last night?
Aku pernah mengalami hal serupa dulu	I once experienced something similar before
Dia belum menerima upa atas pekerjaannya	He has not received compensation for his work
Kapal itu akan melintasi selat besok	The ship will cross the strait tomorrow
Ini paling sulit yang pernah aku coba	This is the most difficult I have ever tried
Banyak warga akan terdampak kebijakan baru	Many residents will be affected by the new policy
Perusahaan itu tidak mengubah kebijakan lama	That company does not change its old policy
Harga kakao sedang naik bulan ini	Cocoa prices are rising this month
Petani itu akan menanam jagung musim depan	That farmer will plant corn next season
Sapi itu sedang makan di ladang	That cow is eating in the field
Apakah kamu pernah melihat harimau liar?	Have you ever seen a wild tiger?
Monyet itu belum turun dari pohon	That monkey has not come down from the tree
Aku akan membeli ikan segar nanti	I will buy fresh fish later
Dia sedang menggoreng ikan di dapur	He is frying fish in the kitchen
Aku mau nasi goreng sekarang	I want fried rice now
Perahu itu sudah kembali ke pelabuhan	That boat has already returned to the harbor
Anak-anak bermain di pasir pantai	The children are playing in the beach sand
Rumah itu terbuat dari kayu tua	That house is made of old wood
Jembatan itu diperkuat dengan besi kuat	The bridge is reinforced with strong iron
Kami akan memperbaiki pagar besok	We will repair the fence tomorrow
Tikus itu lari saat aku mendekat	The rat ran when I approached
Mereka memancing di danau tadi siang	They fished in the lake this afternoon
Sepatu baruku belum kucoba di luar	I haven’t tried my new shoes outside yet
Angin malam ini terasa sangat kencang	The wind tonight feels very strong
Apakah kamu sudah memenuhi semua syarat pendaftaran?	Have you met all the registration requirements?
Raja itu memerintah kerajaannya dengan bijak	The king rules his kingdom wisely
Dia selalu memberi nasihat yang bijaksana	He always gives wise advice
Aku ingin selajahi hutan minggu depan	I want to explore the forest next week
Aku menaruh teh panas di cangkir	I put the hot tea in the cup
Kuda itu berlari cepat di padang	The horse runs fast in the field
Aku menanam tanaman baru di halaman	I planted a new plant in the yard
Tembok itu dibangun dari batu bata merah	The wall is built from red bricks
Anak-anak melempar batu ke sungai	The children threw stones into the river
Aku duduk di sofa sambil membaca	I sit on the sofa while reading
Bebek itu berenang di kolam pagi ini	The duck is swimming in the pond this morning
Ikan itu berenang di akuarium rumahku	The fish is swimming in my home aquarium
Aku membeli kemeja baru kemarin	I bought a new shirt yesterday
Anak itu memakan semangka di halaman	The child is eating watermelon in the yard
Aku menyikat gigi sebelum tidur malam	I brush my teeth before sleeping at night
Anjing itu mulai menggigit mainannya keras	The dog started to bite its toy hard
Anak-anak sedang main di taman sore ini	The children are playing in the park this afternoon
Aku harus menganalisis data sebelum presentasi	I have to analyse the data before the presentation
Dia memakai gaun cantik ke pesta	She wears a beautiful dress to the party
Mobil itu diparkir di depan rumah	The car is parked in front of the house
Awan gelap menutupi langit sore ini	Dark clouds cover the sky this afternoon
Dia memakai celana ketat saat berolahraga	She wears leggings while exercising
Aku memijat kaki yang pegal tadi malam	I massaged my sore foot last night
Aku menyimpan uang di dompet setiap hari	I keep money in my wallet every day
Aku menemukan koin lama di laci	I found an old coin in the drawer
Aku membayar belanjaan dengan tunai kemarin	I paid for the groceries in cash yesterday
Asia adalah benua terbesar di dunia	Asia is the largest continent in the world
Dia adalah teman terbaikku sejak kecil	He is my best friend since childhood
Gunung berapi itu meletus bulan lalu	That volcano erupted last month
Aku akan mengecat dinding kamar besok	I will paint the bedroom wall tomorrow
Aku mencuci piring di wastafel dapur	I wash the dishes in the kitchen sink
Keran di kamar mandi bocor tadi malam	The faucet in the bathroom leaked last night
Aku membeli nanas segar di pasar	I bought fresh pineapple at the market
Aku pasti menyelesaikan tugas sebelum malam	I am sure to finish the assignment before night
Aku diterima di universitas terbaik tahun ini	I was accepted into the best university this year
Aku makan pisang sebelum berolahraga pagi	I eat a banana before morning exercise
Bunga itu berwarna kuning cerah di taman	The flower is bright yellow in the garden
Aku duduk di balok kayu sepanjang sungai	I sit on the log along the river
Atap rumah itu ditopang oleh balok kayu	The roof of the house is supported by wooden beams
Aku menancapkan paku di dinding untuk foto	I hammered a nail into the wall for a photo
Aku akan ambil buku itu dari rak	I will take that book from the shelf
Aku meletakkan kepala di bantal empuk	I rest my head on the soft pillow
Pakaian itu disimpan rapi di lemari	The clothes are neatly stored in the closet
Aku memanjat tangga untuk ambil buku	I climbed the ladder to get the book
Aku akan mendaki gunung akhir pekan ini	I will climb the mountain this weekend
Aku sibuk bekerja sepanjang pekan ini	I have been busy working all week
Hidungku gatal karena alergi debu	My nose itches due to dust allergy
Telingaku sakit setelah berenang kemarin	My ear hurt after swimming yesterday
Aku membaca seluruh buku itu semalam	I read the entire book last night
Kami menghabiskan keseluruhan hari di pantai	We spent the whole day at the beach
Restoran itu terkenal dengan masakan pedasnya	That restaurant is famous for its spicy dishes
Aku sudah memakai anting itu sejak pagi	I have been wearing that earring since this morning
Aku akan pergi ke bandara besok pagi	I will go to the airport tomorrow morning
Aku sedang membersihkan rumah sebelum tamu datang	I am cleaning the house before the guests arrive
Perabot di rumah baru kami sangat modern	The furniture in our new house is very modern
Aku selalu menyikat gigi dengan sikat baru setiap minggu	I always brush my teeth with a new brush every week
Aku menerima paket dari toko online kemarin sore	I received a package from the online store yesterday afternoon
Aku akan mengintegrasikan sistem baru ke dalam aplikasi	I will integrate the new system into the application
Integrasi data antara dua sistem selesai minggu lalu	The data integration between the two systems was completed last week
Aku duduk di kursi antara dua temanku	I sat on the chair between my two friends
Pengiriman barang dari toko itu biasanya cepat	The delivery of goods from that store is usually fast
Aku baru saja membeli sepeda motor baru kemarin	I just bought a new motorcycle yesterday
Cukup duduk di sini aja jangan bergerak	Just sit here only, don’t move
Jangan gerak dulu sampai aku bilang siap	Don’t move until I say ready
Dia bernyanyi seperti penyanyi profesional di konser	She sings like a professional singer at the concert
Kami sering pergi ke bioskop setiap akhir pekan	We often go to the cinema every weekend
Aku sedang mengobrol dengan teman lama lewat pesan	I am chatting with an old friend through messages
Aku sering bermain permainan video sebelum tidur	I often play video games before going to sleep
Pengujian sistem baru akan dilakukan minggu depan	The testing of the new system will be conducted next week
Aku bertemu dengan insinyur itu untuk membahas proyek	I met with the engineer to discuss the project
Tolong lakukan tugas ini sebelum jam lima sore	Please do this task before five o’clock
Aku mengecek data terbaru di dasbor setiap pagi	I check the latest data on the dashboard every morning
Elemen penting dari desain ini harus diperhatikan	The important element of this design must be considered
Aku merasa sedih di dalam hati saat mendengar berita itu	I felt sad in my heart when I heard that news
Dokter memeriksa jantungku karena detak yang tidak normal	The doctor checked my heart because the beat was irregular
Aku jg akan ikut ke pesta nanti malam	I will also go to the party tonight
Aku terlambat karna hujan deras tadi pagi	I was late because of the heavy rain this morning
Aku harus ulang pelajaran itu supaya lebih paham	I have to repeat that lesson to understand it better
Tolong ulangi pertanyaan itu supaya aku jelas mendengar	Please repeat that question so I can hear it clearly
Aku memesan sup ayam hangat untuk makan siang	I ordered a warm chicken soup for lunch
Babi itu sedang tidur di halaman belakang	The pig is sleeping in the backyard
Aku melihat anak kecil menangis di taman tadi	I saw a little child cry in the park earlier
Kita harus menjaga lingkungan agar tetap bersih dan sehat	We must take care of the environment to keep it clean and healthy
Aku merasa aman saat berada di rumah bersama keluargaku	I feel safe when I am at home with my family
Keselamatan pekerja selalu menjadi prioritas utama perusahaan	The safety of workers is always the company’s top priority
