Front	Back
Rencana ini harus tetap rahasia	This plan must remain secret
Apakah aku harus pergi?	Do I have to go?
Aku tadi ketinggalan bus terakhir	I missed the last bus earlier
Aku sedang merindukan sahabat lamaku	I am currently missing my old friend
Nona itu belum tiba di kantor	That Miss has not arrived at the office yet
Mengapa kamu melewatkan detail penting itu?	Why did you miss that important detail?
Tembakannya hampir meleset dari target	His shot almost missed the target
Tembakannya tidak mengenai target	His shot did not hit the target
Panah itu akan mengenai sasaran	That arrow will hit the target
Sasaran latihan hari ini belum tercapai	Today's training target has not been achieved
Panah itu tidak terbang lurus	That arrow does not fly straight
Tujuan besar itu akhirnya tercapai	That big goal was finally achieved
Jalan ini tidak lurus sampai kota	This road is not straight to the city
Burung itu akan terbang saat fajar	That bird will fly at dawn
Apakah kota ini pernah sangat ramai?	Has this city ever been very crowded?
Fajar belum muncul di timur	Dawn has not appeared in the east
Burung itu sedang mencari makanan	That bird is currently looking for food
Mengapa kamu mencari alamat lama?	Why are you looking for the old address?
Kami tidak bekerja pada Selasa	We do not work on Tuesday
Aku akan kembali pada Rabu	I will return on Wednesday
Apakah kamu bekerja pada Kamis?	Do you work on Thursday?
Aku belum pernah bekerja pada Jumat	I have never worked on Friday
Kami akan berangkat pada Sabtu	We will depart on Saturday
Mengapa toko itu tutup pada Minggu?	Why is that shop closed on Sunday?
Apakah kamu pindah rumah pada Januari?	Did you move house in January?
Festival itu akan diadakan Februari	That festival will be held in February
Rapat penting itu akan diadakan besok	That important meeting will be held tomorrow
Mengapa daun itu tetap hijau?	Why does that leaf stay green?
Langit barat tampak merah sore ini	The western sky appears red this evening
Matahari akan tenggelam di barat	The sun will set in the west
Mengapa matahari cepat tenggelam hari ini?	Why did the sun set early today?
Dia tiba-tiba melangkah menyamping dariku	He suddenly stepped aside from me
Aku tidak melangkah mundur kemarin	I did not step backward yesterday
Mengapa dia tiba-tiba mundur tadi?	Why did he suddenly step back earlier?
Festival besar itu diadakan Maret	That big festival is held in March
Apakah ujianmu dimulai April?	Does your exam start in April?
Aku akan pindah kota pada Mei	I will move to another city in May
Rapat itu dijadwalkan pada Senin	That meeting is scheduled on Monday
Apakah liburanmu dimulai Juni?	Does your holiday start in June?
Kami belum merencanakan liburan tahun ini	We have not planned a vacation this year
Festival musik itu diadakan Juli	That music festival is held in July
Aku belum pernah mengunjungi Bali Agustus	I have never visited Bali in August
Apakah semester baru dimulai September?	Does the new semester start in September?
Dia tiba-tiba tertawa saat mendengar lelucon	He suddenly laughed when hearing the joke
Festival film itu diadakan Oktober	That film festival is held in October
Apakah proyek itu selesai November?	Will that project be finished in November?
Kami biasanya liburan panjang Desember	We usually take a long vacation in December
Apakah perjalanan itu terlalu panjang?	Is that journey too long?
Aku biasanya bangun sebelum fajar	I usually wake up before dawn
Mengapa kamu belum bangun pagi ini?	Why haven't you woken up this morning?
Aku tidak menemukan pena biruku	I did not find my blue pen
Kami akan bepergian jauh ke selatan	We will travel far to the south
Apakah kapal itu menuju timur?	Is that ship heading east?
Kami tidak pernah tinggal di utara	We have never lived in the north
Desa kecil itu terletak dekat sungai	That small village is located near the river
Mengapa sungai ini tampak sangat keruh?	Why does this river look very muddy?
Air itu tidak lagi keruh sekarang	That water is no longer murky now
Kami tidak pernah bepergian ke barat	We have never traveled to the west
Mengapa dinding itu terlihat retak?	Why does that wall look cracked?
Kaca itu sudah retak sejak kemarin	That glass has been cracked since yesterday
Apakah kaca jendela itu pecah?	Did that window glass break?
Balon itu tidak pecah tadi	That balloon did not pop earlier
Balon merah itu akan terbang	That red balloon will fly
Mengapa wajahmu tiba-tiba merah?	Why did your face suddenly turn red?
Apakah kertas itu benar-benar putih?	Is that paper truly white?
Kertas ini tidak cukup tebal	This paper is not thick enough
Apakah buku itu terlalu tebal?	Is that book too thick?
Aku sedang membaca buku lama	I am currently reading an old book
Aku akan mencoba resep baru	I will try a new recipe
Resep ini belum pernah aku gunakan	I have never used this recipe
Mengapa kamu tidak pakai sepatu?	Why are you not wearing shoes?
Cahaya itu tidak cukup terang	That light is not bright enough
Lampu kecil itu akan menerangi jalan	That small lamp will illuminate the road
Langit malam tidak terlalu terang	The night sky is not very bright
Aku ingin es dalam minuman	I want ice in my drink
Mengapa laut tampak biru hari ini?	Why does the sea look blue today?
Apakah kucing itu benar-benar hitam?	Is that cat truly black?
Mengapa bunga itu tampak merah muda?	Why does that flower appear pink?
Bunga itu belum mekar pagi ini	That flower has not bloomed this morning
Apakah bunga itu akan mekar besok?	Will that flower bloom tomorrow?
Aku belum tahu rencana besok	I still do not know tomorrow's plan
Aku belum paham kalimat itu	I still do not understand that sentence
Apakah kamu punya contoh lain?	Do you have another example?
Berita itu disiarkan lewat saluran ini	That news is broadcast through this channel
Aku akan mengikuti saranmu besok	I will follow your advice tomorrow
Pertandingan itu sedang disiarkan langsung	That match is being broadcast live
Aku tidak selalu mengikuti nasihatnya	I do not always follow his advice
Mengapa kamu menolak nasihatku tadi?	Why did you reject my advice earlier?
Dia menolak tawaran itu kemarin	He rejected that offer yesterday
Apakah kamu punya contoh kalimat baru?	Do you have a new example sentence?
Pesan itu dikirim lewat email tadi	That message was sent through email earlier
Paket itu sudah dikirim pagi ini	That package has already been sent this morning
Obrolan itu belum selesai tadi	That conversation was not finished earlier
Aku belum menyelesaikan tugas itu	I have not finished that task yet
Apakah kamu membaca utas itu?	Did you read that thread?
Pesan itu belum dibaca siapa pun	That message has not been read by anyone yet
Kami tidak menonton saluran itu	We do not watch that channel
Obrolan itu akan berlanjut nanti	That conversation will continue later
Diskusi itu tidak berlanjut lama	That discussion did not continue long
Apakah diskusi ini akan selesai?	Will this discussion finish?
Ini bukan kesempatan terakhirku	This is not my last chance
Apakah ini restoran favoritmu sekarang?	Is this your favorite restaurant now?
Aku tidak suka restoran itu	I do not like that restaurant
Aplikasi itu akan diperbarui besok	That application will be updated tomorrow
Aku belum menerima panggilan darimu	I have not received a call from you yet
Dia bukan anggota klub itu	He is not a member of that club
Apakah kamu akan bergabung tim kami?	Will you join our team?
Apakah kata ini termasuk verba?	Is this word a verb?
Apakah biaya itu termasuk pajak?	Does that cost include tax?
Aku sedang mempelajari tata bahasa baru	I am studying new grammar
Kami tidak membayar pajak tahun lalu	We did not pay tax last year
Tata ruang kantor itu rapi	The office layout is neat
Mejaku selalu rapi setiap pagi	My desk is always neat every morning
Ruang ini tidak cukup besar	This space is not big enough
Video itu belum dibagikan kemarin	That video was not shared yesterday
Apakah rapat itu sudah dimulai?	Has that meeting already started?
Aku tidak bekerja sekarang	I am not working now
Aku sedang cari kunci motorku	I am looking for my motorcycle key
Apakah kamu akan temu jawabannya?	Will you find the answer?
Aku belum temukan dompetku tadi	I have not found my wallet earlier
Grup itu tidak aktif lagi	That group is no longer active
Apakah grup itu masih aktif?	Is that group still active?
Gambar itu akan dicetak besok	That image will be printed tomorrow
Pesan itu belum aku kirim	I have not sent that message yet
Foto itu tidak dicetak kemarin	That photo was not printed yesterday
Aku belum lihat hasilnya	I have not seen the result yet
Apakah ada pilihan lainnya sekarang?	Are there other options now?
Aku akan memilih restoran lain	I will choose another restaurant
Aku belum memilih kursus itu	I have not chosen that course
Pilihan itu tidak mudah bagiku	That choice is not easy for me
Proses itu akan dioptimalkan segera	That process will be optimized soon
Aku akan segera menghubungimu	I will contact you soon
Aku belum menghubungi klien itu	I have not contacted that client yet
Apakah klien itu sudah membayar?	Has that client already paid?
Selamat datang di rumah kami	Welcome to our house
Aku tidak akan membayar biaya itu	I will not pay that fee
Orang itu sedang menunggu di luar	That person is waiting outside
Aku membeli kopi dan roti	I bought coffee and bread
Apakah ini pesan terakhir darimu?	Is this the last message from you?
Pesan itu sudah dibaca semua orang	That message has been read by everyone
Semua anggota akan hadir besok	All members will attend tomorrow
Apakah aturan itu selalu diikuti?	Is that rule always followed?
Sebutan itu tidak dipakai lagi	That term is no longer used
Aku tidak pakai sepatu itu	I do not use those shoes
Sepatu itu akan kubeli besok	I will buy those shoes tomorrow
Buku itu sudah kubeli kemarin	That book was already bought by me yesterday
Apakah kamu sudah latihan hari ini?	Have you already practiced today?
Sandi itu tidak boleh dibagikan	That password must not be shared
Tandai pesan penting itu sekarang	Mark that important message now
Dia telah menyelesaikan proyek besar	He has already completed a big project
Rumah itu tidak terlalu besar	That house is not too big
Apakah rumah itu terlalu kecil?	Is that house too small?
Dia bekerja sebagai penerjemah sekarang	He works as a translator now
Aku bukan penerjemah profesional	I am not a professional translator
Sesuaikan jadwalmu sebelum rapat	Adjust your schedule before the meeting
Tampilan aplikasi itu sudah berubah	The application's appearance has already changed
Cuaca tiba-tiba berubah tadi	The weather suddenly changed earlier
Cuaca hari ini tidak cerah	The weather today is not bright
Apakah langit akan cerah besok?	Will the sky be bright tomorrow?
Balon itu tiba-tiba ciut tadi	That balloon suddenly shrank earlier
Lampu itu tiba-tiba mati tadi	That light suddenly went out earlier
Aku kadang-kadang lupa kunci rumah	I sometimes forget the house key
Aku belum lupa janji itu	I have not forgotten that promise
Jangan sentuh tombol itu sekarang	Do not touch that button now
Aku tidak khawatir tentang ujian itu	I am not worried about that exam
Apakah tombol itu sudah ditekan?	Has that button already been pressed?
Aku tidak sentuh barang itu	I did not touch that item
Tekan tombol merah sekarang	Press the red button now
Warna tas itu bukan favoritku	That bag’s color is not my favorite
Aku buta warna sejak kecil	I have been colorblind since childhood
Dia tidak buta sejak lahir?	Was he not blind from birth?
Anaknya lahir tadi pagi	His child was born this morning
Apakah sup ini pakai ketumbar?	Does this soup use coriander?
Pelangi muncul setelah hujan berhenti	A rainbow appeared after the rain stopped
Bintang itu belum muncul malam ini	That star has not appeared tonight
Bus itu tiba-tiba berhenti di jalan	That bus suddenly stopped on the road
Aku sedang membilas sayur di dapur	I am rinsing vegetables in the kitchen
Dia belum makan sayur hari ini	He has not eaten vegetables today
Pilih satu antara kopi atau teh?	Choose one between coffee or tea?
Dinding beton itu sangat kuat	That concrete wall is very strong
Ekosistem laut sedang berubah cepat	The marine ecosystem is changing quickly
Hotel itu akan terasa sangat mewah	That hotel will feel very luxurious
Aku belum pernah menginap di hotel	I have never stayed in a hotel
Mengapa reaksinya begitu cepat?	Why was the reaction so fast?
Aku akan ambil buku itu	I will take that book
Aku akan alih tugas ini besok	I will transfer this task tomorrow
Pintunya sudah terkunci dari dalam	The door is already locked from inside
Aku pulang dari kantor tadi	I returned home from the office earlier
Kucing itu tidur dalam kotak	That cat sleeps inside the box
Dia tidak bekerja di kantor lagi	He no longer works at the office
Kotak itu akan kukirim besok	I will send that box tomorrow
Paket itu akan kukirim sore ini	I will send that package this afternoon
Mengapa kamu tidak angkat teleponku?	Why did you not answer my call?
Ponselku sedang dicas sekarang	My cellphone is being charged now
Ponsel itu belum dicas semalaman	That phone has not been charged all night
Kami tidak tidur semalaman	We did not sleep all night
Aku akan bekerja seharian besok	I will work all day tomorrow
Mengapa mikrofon itu tidak berfungsi?	Why is that microphone not working?
Hutan ini menjaga ekosistem tetap seimbang	This forest keeps the ecosystem balanced
Harga dan kualitasnya tidak seimbang	Its price and quality are not balanced
Kualitas suaranya sedang menurun hari ini	Its sound quality is decreasing today
Mengapa harga kopi naik lagi?	Why did the price of coffee rise again?
Penjualan toko itu menurun sejak Januari	That shop's sales have decreased since January
Penjualan minggu ini belum meningkat	Sales this week have not increased
Langit tiba-tiba menjadi sangat gelap	The sky suddenly became very dark
Anak itu sedang makan es krim	That child is eating ice cream
Aku tidak menambahkan krim ke kopi	I did not add cream to the coffee
Koki akan menambahkan garam nanti	The chef will add salt later
Koki itu belum menyiapkan makanannya	That chef has not prepared the meal yet
Sup ini terasa terlalu asin	This soup tastes too salty
Apakah kamu sudah menyiapkan dokumennya?	Have you already prepared the document?
Koki itu tidak menambahkan garam	That chef did not add salt
Aku akan gabung tim itu	I will join that team
Dia sedang rekap laporan penjualan	He is recapping the sales report
Apakah laporan itu sudah dikirim?	Has that report already been sent?
Bulan belum terlihat malam ini	The moon has not appeared tonight
Hujan deras itu akhirnya reda	That heavy rain finally subsided
Harga tiketnya masih sangat rendah	The ticket price is still very low
Aku akan mengejar ambisiku tahun ini	I will pursue my ambition this year
Mengapa kamu mengejar mimpi itu?	Why are you chasing that dream?
Aku pernah bermimpi tentang laut luas	I once dreamed about the vast ocean
Aku sedang menatap laut sore ini	I am looking at the sea this afternoon
Apakah kamu akan ke gym besok?	Will you go to the gym tomorrow?
Aku tidak menatap layar sepanjang hari	I do not stare at the screen all day
Sepanjang perjalanan, aku tetap diam	Throughout the journey, I remained silent
Apakah kamu diam sejak tadi?	Have you been silent since earlier?
Layar ponselku sudah pecah tadi pagi	My phone screen already cracked this morning
Mengapa gelas itu pecah tadi?	Why did that glass break earlier?
Sepatuku belum kering, masih basah	My shoes are not dry yet, still wet
Pakaian itu akan kering besok	Those clothes will be dry tomorrow
Aku masih menunggu jawabanmu	I am still waiting for your answer
Aku belum menunggu terlalu lama	I have not waited too long yet
Perusahaan itu akan ekspor kopi tahun depan	That company will export coffee next year
Dokter menanyakan riwayat penyakitku kemarin	The doctor asked about my medical history yesterday
Mengapa kamu menanyakan hal itu?	Why are you asking that?
Dia belum pernah menderita penyakit serius	He has never suffered a serious illness
Aku tidak ingin menderita lagi	I do not want to suffer again
Aku ingin belajar bahasa baru besok	I want to learn a new language tomorrow
Apakah kamu akan mencoba lagi nanti?	Will you try again later?
Aku belum memeriksa akun bankku hari ini	I have not checked my bank account today
Aku akan hapus pesan itu sekarang	I will delete that message now
Guru ingin memupuk rasa ingin tahu	The teacher wants to foster curiosity
Mengapa bank itu tutup hari ini?	Why is that bank closed today?
Aku tidak merasakan rasa takut tadi	I did not feel fear earlier
Rasa ingin tahuku belum terjawab	My curiosity has not been answered yet
Aku sedang merasakan angin laut dingin	I am feeling the cold sea wind
Apakah dia datang dan pergi cepat?	Did he come and leave quickly?
Aku sedang memegang tangga besar itu	I am holding that big ladder
Mengapa dia memegang tanganku tadi?	Why did he hold my hand earlier?
Tanganku tidak sakit lagi sekarang	My hand does not hurt anymore now
Aku akan melukis dengan jari nanti	I will paint with my fingers later
Rambutku belum kering setelah mandi	My hair is not dry yet after showering
Apakah kamu sudah mandi pagi ini?	Have you bathed this morning?
Sabun ini tidak membuat kulit kering	This soap does not make the skin dry
Sepatuku bau karena hujan kemarin	My shoes smell because of yesterday's rain
Kulitku masih terasa dingin sekarang	My skin still feels cold now
Mengapa kamu tidak merasa takut?	Why do you not feel afraid?
Kesabaran adalah kunci keberhasilan	Patience is the key to success
Kesabaranmu belum habis hari ini	Your patience has not run out today
Aku akan tetap sabar menunggu kabar	I will remain patient waiting for news
Kakiku masih sakit setelah lari	My foot still hurts after running
Apakah kakimu sudah sembuh sekarang?	Has your leg healed now?
Aku belum sembuh dari flu	I have not recovered from the flu
Lenganku belum kuat mengangkat kotak	My arm is not strong enough to lift the box
Punggungku terasa sakit setelah kerja	My back feels sore after working
Kepalaku tidak pusing lagi hari ini	My head is not dizzy anymore today
Janggutnya tidak terlalu panjang sekarang	His beard is not very long now
Sikuku sakit karena jatuh kemarin	My elbow hurts because I fell yesterday
Prasangka itu belum tentu benar	That prejudice is not necessarily true
Apakah kamu tentu akan datang besok?	Are you certainly coming tomorrow?
Pesanku belum dijawab sejak kemarin	My message has not been answered since yesterday
Aku sudah mengirim faktur kemarin	I already sent the invoice yesterday
Aku sedang mengetik pesan panjang	I am typing a long message
Aku tidak setujui rencana itu	I do not approve that plan
Apakah kamu setuju dengan keputusan itu?	Do you agree with that decision?
Aku belum minta izin orang tua	I have not asked my parents' permission yet
Aku akan minta bantuan besok	I will ask for help tomorrow
Bisakah kamu bantu aku sekarang?	Can you help me now?
Aku tidak perlu uang itu	I do not need that money
Hewan itu sedang tidur di kebun	That animal is sleeping in the garden
Apakah kamu pernah bekerja di kebun?	Have you ever worked in a garden?
Tanaman itu tidak tumbuh cepat	That plant does not grow quickly
Tubuhku masih terasa lelah	My body still feels tired
Badanku belum terasa lebih baik	My body does not feel better yet
Apakah kamu masih merasa lelah?	Do you still feel tired?
Apakah kamu sedang mengupas kentang?	Are you peeling potatoes?
Aku sedang mengupas mangga matang	I am peeling a ripe mango
Mengapa langit sore terlihat kuning?	Why does the evening sky look yellow?
Mangga itu sudah matang sekarang	That mango is already ripe now
Apel itu belum matang sepenuhnya	That apple is not fully ripe yet
Aku akan membeli jeruk segar nanti	I will buy fresh oranges later
Aku belum sepenuhnya mengerti masalah itu	I do not fully understand that problem yet
Apakah kamu mengerti penjelasan itu?	Do you understand that explanation?
Penjelasanmu tadi sangat jelas	Your explanation earlier was very clear
Api itu tidak padam semalam	That fire did not go out last night
Lampu itu tiba-tiba padam	That light suddenly went out
Apakah sendok itu sudah kamu cuci?	Have you already washed that spoon?
Piring itu akan pecah nanti	That plate will break later
Aku tidak suka campuran rasa aneh	I do not like strange flavor mixtures
Hari-hari ini terasa sangat rumit bagiku	These days feel very complicated to me
Aku sudah mendownload file itu kemarin	I already downloaded that file yesterday
Hari-hari mendatang akan terasa lebih ringan	The coming days will feel lighter
Apakah acara mendatang sudah kamu rencanakan?	Have you already planned the upcoming event?
Masalah ini belum rumit sebelumnya	This problem was not complicated before
Aku sedang menyiapkan acara penting besok	I am preparing an important event tomorrow
Apakah dokumen itu sudah kamu kirim?	Have you already sent that document?
Aku akan membawa semua barang nanti	I will bring all the items later
Aku belum kirim pesan itu tadi	I have not sent that message earlier
Dia sedang membawa hadiah untukmu sekarang	He is bringing a gift for you now
Hadiah itu belum aku buka sampai sekarang	I have not opened that gift until now
Jam ini tidak berjalan sejak tadi	This clock has not been running since earlier
Aku belum cuci piring setelah makan	I have not washed the dishes after eating
Piring itu bukan milikku, jangan ambil	That plate is not mine, do not take it
Jangan kamu ganggu aku saat bekerja	Do not disturb me while I am working
Kenapa kamu belum ambil paket itu?	Why have you not taken that package?
Aku tidak ingin ganggu kamu malam ini	I do not want to disturb you tonight
Dia pernah merana karena kehilangan arah	He once suffered because he lost direction
Aku belum sepenuhnya mengerti maksudmu	I do not fully understand your meaning yet
Apa maksudmu dengan ucapan tadi?	What do you mean by what you said earlier?
Ucapanmu akan aku ingat selamanya	I will remember your words forever
Apakah kamu akan menunggu di sini selamanya?	Will you wait here forever?
Aku akan mencintaimu selamanya	I will love you forever
Dia tidak tinggal di sini selamanya	He does not stay here forever
Apakah ini akan berlangsung selamanya?	Will this last forever?
Kami pernah berharap hidup bahagia selamanya	We once hoped to live happily forever
Aku tidak ingin menunggu selamanya lagi	I do not want to wait forever anymore
Mereka akan bersama selamanya nanti	They will be together forever later
Kenangan itu terasa hidup selamanya	That memory feels alive forever
Aku belum melupakanmu selamanya	I have not forgotten you forever
Apakah dia akan pergi selamanya?	Will he leave forever?
Cinta ini tidak akan hilang selamanya	This love will not disappear forever
Aku tidak lagi mencintaimu seperti dulu	I no longer love you like before
Pertemuan itu berlangsung lebih lama tadi	That meeting lasted longer earlier
Aku berharap kamu akan datang besok	I hope you will come tomorrow
Kenangan itu masih terasa hangat sekarang	That memory still feels warm now
Apakah tugas ini terlalu sulit untukmu?	Is this task too difficult for you?
Makanan ini terlalu pedas untukku sekarang	This food is too spicy for me now
Kenapa kamu bilang itu kepadaku tadi?	Why did you say that to me earlier?
Dia memberikan hadiah pada temannya kemarin	He gave a gift to his friend yesterday
Aku akan memberikan bantuan jika kamu perlu	I will give help if you need it
Aku belum membuang sampah sejak kemarin	I have not thrown away the trash since yesterday
Jangan membuang makanan yang masih layak	Do not throw away food that is still edible
Dia kayak tidak peduli dengan masalah ini	He seems like he does not care about this problem
Apakah pakaian ini masih layak dipakai?	Is this clothing still suitable to wear?
Aku tidak peduli lagi tentang hal itu	I do not care anymore about that matter
Hal itu belum pernah aku dengar sebelumnya	I have never heard that thing before
Aku sedang dengar musik saat kamu datang	I was listening to music when you arrived
Saat itu aku tidak tahu harus apa	At that moment I did not know what to do
Buku ini belum aku baca sampai selesai	I have not read this book until finished
Apakah kamu sudah selesai dengan tugas itu?	Have you already finished that task?
Tugas ini tidak terlalu sulit bagiku	This task is not too difficult for me
Apakah soal ini akan menjadi mudah nanti?	Will this problem become easy later?
Daun itu belum berubah menjadi hijau	That leaf has not turned green yet
Daun itu jatuh perlahan tadi pagi	That leaf fell slowly earlier this morning
Aku ingin menjadi lebih sabar mulai sekarang	I want to become more patient starting now
Mobil itu bergerak perlahan di jalan sempit	That car moves slowly on the narrow road
Apakah mesin ini masih bisa bergerak?	Can this machine still move?
Mesin itu tidak bekerja sejak kemarin	That machine has not worked since yesterday
Aku belum bertemu dia sejak kejadian itu	I have not met him since that incident
Aku sedang meningkatkan kemampuan berbicara bahasa Indonesia	I am improving my ability to speak Indonesian
Kejadian itu akan selalu aku ingat	I will always remember that incident
Kemungkinan itu belum bisa aku pastikan sekarang	That possibility cannot be confirmed by me yet now
Pastikan kamu tidak lupa membawa kunci	Make sure you do not forget to bring the key
Aku pernah lupa janji penting sebelumnya	I once forgot an important promise before
Apakah aku masih punya kesempatan untuk mencoba?	Do I still have a chance to try?
Dia tidak memiliki kekuatan untuk melawan lagi	He does not have the strength to fight anymore
Aku tidak ingin melawan mereka tanpa alasan	I do not want to fight them without reason
Berapa lama kamu akan tinggal di sini?	How long will you stay here?
